title,link,en,de,fr,es,nl,ko,ceb,ar,sv,ru,hi,tr,zh,af
Female,https://en.wikipedia.org/wiki/Female,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Male,https://en.wikipedia.org/wiki/Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collective noun,https://en.wikipedia.org/wiki/Collective_noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collateral adjective,https://en.wikipedia.org/wiki/Collateral_adjective,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Binomial nomenclature,https://en.wikipedia.org/wiki/Binomial_nomenclature#History,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aves,https://en.wikipedia.org/wiki/Aves,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chicken,https://en.wikipedia.org/wiki/Chicken,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Bird,https://en.wikipedia.org/wiki/Bird,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bovinae,https://en.wikipedia.org/wiki/Bovinae,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Herd,https://en.wikipedia.org/wiki/Herd,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Cattle,https://en.wikipedia.org/wiki/Cattle,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Canidae,https://en.wikipedia.org/wiki/Canidae,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puppy,https://en.wikipedia.org/wiki/Puppy,0,0,1,1,0,0,1,0,1,1,1,0,1,1
Dog,https://en.wikipedia.org/wiki/Dog,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pack (canine),https://en.wikipedia.org/wiki/Pack_(canine),0,0,0,0,0,0,1,1,1,0,1,1,1,1
Cetacea,https://en.wikipedia.org/wiki/Cetacea,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Equidae,https://en.wikipedia.org/wiki/Equidae,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Colt (horse),https://en.wikipedia.org/wiki/Colt_(horse),0,1,1,1,1,1,1,1,1,1,0,1,1,1
Filly,https://en.wikipedia.org/wiki/Filly,0,1,1,1,1,1,1,1,1,0,0,1,0,1
Donkey,https://en.wikipedia.org/wiki/Donkey,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Felidae,https://en.wikipedia.org/wiki/Felidae,1,1,1,1,1,1,1,1,1,1,1,1,1,1
