title,link
Hydrogen,https://en.wikipedia.org/wiki/Hydrogen
Helium,https://en.wikipedia.org/wiki/Helium
Lithium,https://en.wikipedia.org/wiki/Lithium
Beryllium,https://en.wikipedia.org/wiki/Beryllium
Boron,https://en.wikipedia.org/wiki/Boron
Carbon,https://en.wikipedia.org/wiki/Carbon
Nitrogen,https://en.wikipedia.org/wiki/Nitrogen
Oxygen,https://en.wikipedia.org/wiki/Oxygen
Fluorine,https://en.wikipedia.org/wiki/Fluorine
Neon,https://en.wikipedia.org/wiki/Neon
Sodium,https://en.wikipedia.org/wiki/Sodium
Magnesium,https://en.wikipedia.org/wiki/Magnesium
Aluminium,https://en.wikipedia.org/wiki/Aluminium
Silicon,https://en.wikipedia.org/wiki/Silicon
Phosphorus,https://en.wikipedia.org/wiki/Phosphorus
Sulfur,https://en.wikipedia.org/wiki/Sulfur
Chlorine,https://en.wikipedia.org/wiki/Chlorine
Argon,https://en.wikipedia.org/wiki/Argon
Potassium,https://en.wikipedia.org/wiki/Potassium
Calcium,https://en.wikipedia.org/wiki/Calcium
Scandium,https://en.wikipedia.org/wiki/Scandium
Titanium,https://en.wikipedia.org/wiki/Titanium
Vanadium,https://en.wikipedia.org/wiki/Vanadium
Chromium,https://en.wikipedia.org/wiki/Chromium
Manganese,https://en.wikipedia.org/wiki/Manganese
Iron,https://en.wikipedia.org/wiki/Iron
Cobalt,https://en.wikipedia.org/wiki/Cobalt
Nickel,https://en.wikipedia.org/wiki/Nickel
Copper,https://en.wikipedia.org/wiki/Copper
Zinc,https://en.wikipedia.org/wiki/Zinc
Gallium,https://en.wikipedia.org/wiki/Gallium
Germanium,https://en.wikipedia.org/wiki/Germanium
Arsenic,https://en.wikipedia.org/wiki/Arsenic
Selenium,https://en.wikipedia.org/wiki/Selenium
Bromine,https://en.wikipedia.org/wiki/Bromine
Krypton,https://en.wikipedia.org/wiki/Krypton
Rubidium,https://en.wikipedia.org/wiki/Rubidium
Strontium,https://en.wikipedia.org/wiki/Strontium
Yttrium,https://en.wikipedia.org/wiki/Yttrium
Zirconium,https://en.wikipedia.org/wiki/Zirconium
Niobium,https://en.wikipedia.org/wiki/Niobium
Molybdenum,https://en.wikipedia.org/wiki/Molybdenum
Technetium,https://en.wikipedia.org/wiki/Technetium
Ruthenium,https://en.wikipedia.org/wiki/Ruthenium
Rhodium,https://en.wikipedia.org/wiki/Rhodium
Palladium,https://en.wikipedia.org/wiki/Palladium
Silver,https://en.wikipedia.org/wiki/Silver
Cadmium,https://en.wikipedia.org/wiki/Cadmium
Indium,https://en.wikipedia.org/wiki/Indium
Tin,https://en.wikipedia.org/wiki/Tin
Antimony,https://en.wikipedia.org/wiki/Antimony
Tellurium,https://en.wikipedia.org/wiki/Tellurium
Iodine,https://en.wikipedia.org/wiki/Iodine
Xenon,https://en.wikipedia.org/wiki/Xenon
Caesium,https://en.wikipedia.org/wiki/Caesium
Barium,https://en.wikipedia.org/wiki/Barium
Lanthanum,https://en.wikipedia.org/wiki/Lanthanum
Cerium,https://en.wikipedia.org/wiki/Cerium
Praseodymium,https://en.wikipedia.org/wiki/Praseodymium
Neodymium,https://en.wikipedia.org/wiki/Neodymium
Promethium,https://en.wikipedia.org/wiki/Promethium
Samarium,https://en.wikipedia.org/wiki/Samarium
Europium,https://en.wikipedia.org/wiki/Europium
Gadolinium,https://en.wikipedia.org/wiki/Gadolinium
Terbium,https://en.wikipedia.org/wiki/Terbium
Dysprosium,https://en.wikipedia.org/wiki/Dysprosium
Holmium,https://en.wikipedia.org/wiki/Holmium
Erbium,https://en.wikipedia.org/wiki/Erbium
Thulium,https://en.wikipedia.org/wiki/Thulium
Ytterbium,https://en.wikipedia.org/wiki/Ytterbium
Lutetium,https://en.wikipedia.org/wiki/Lutetium
Hafnium,https://en.wikipedia.org/wiki/Hafnium
Tantalum,https://en.wikipedia.org/wiki/Tantalum
Tungsten,https://en.wikipedia.org/wiki/Tungsten
Rhenium,https://en.wikipedia.org/wiki/Rhenium
Osmium,https://en.wikipedia.org/wiki/Osmium
Iridium,https://en.wikipedia.org/wiki/Iridium
Platinum,https://en.wikipedia.org/wiki/Platinum
Gold,https://en.wikipedia.org/wiki/Gold
