title,link,en,de,fr,es,nl,ar,hi,tr,zh,af,ceb,ko,sv,ru
"Abbotsford, British Columbia","https://en.wikipedia.org/wiki/Abbotsford,_British_Columbia",1,1,1,1,1,1,1,0,1,1,1,1,0,1
Aberdeen,https://en.wikipedia.org/wiki/Aberdeen,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Abidjan,https://en.wikipedia.org/wiki/Abidjan,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Abu Dhabi,https://en.wikipedia.org/wiki/Abu_Dhabi,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Adelaide,https://en.wikipedia.org/wiki/Adelaide,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Ahmedabad,https://en.wikipedia.org/wiki/Ahmedabad,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Akron,https://en.wikipedia.org/wiki/Akron,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"Albany, New York","https://en.wikipedia.org/wiki/Albany,_New_York",1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albuquerque,https://en.wikipedia.org/wiki/Albuquerque,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Alexandria,https://en.wikipedia.org/wiki/Alexandria,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"Allentown, Pennsylvania","https://en.wikipedia.org/wiki/Allentown,_Pennsylvania",1,1,1,1,1,1,1,1,1,0,1,1,0,1
Almaty,https://en.wikipedia.org/wiki/Almaty,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Amsterdam,https://en.wikipedia.org/wiki/Amsterdam,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anápolis,https://en.wikipedia.org/wiki/An%C3%A1polis,1,1,1,1,1,1,1,1,0,1,1,0,1,1
Ankara,https://en.wikipedia.org/wiki/Ankara,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Anshan,https://en.wikipedia.org/wiki/Anshan,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Arnhem,https://en.wikipedia.org/wiki/Arnhem,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Athens,https://en.wikipedia.org/wiki/Athens,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Atlanta,https://en.wikipedia.org/wiki/Atlanta,1,1,1,1,1,1,0,1,1,1,0,1,1,1
Auckland,https://en.wikipedia.org/wiki/Auckland,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Greater Austin,https://en.wikipedia.org/wiki/Greater_Austin,1,1,1,0,1,1,0,1,1,0,1,1,1,1
Bakersfield,https://en.wikipedia.org/wiki/Bakersfield,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Ballarat,https://en.wikipedia.org/wiki/Ballarat,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Baltimore,https://en.wikipedia.org/wiki/Baltimore,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Bandung,https://en.wikipedia.org/wiki/Bandung,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Batam,https://en.wikipedia.org/wiki/Batam,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bangkok,https://en.wikipedia.org/wiki/Bangkok,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Baotou,https://en.wikipedia.org/wiki/Baotou,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Barcelona,https://en.wikipedia.org/wiki/Barcelona,1,1,1,1,1,1,0,1,1,0,0,1,1,1
Barrie,https://en.wikipedia.org/wiki/Barrie,1,1,1,1,1,1,0,1,1,0,1,1,0,1
Basel,https://en.wikipedia.org/wiki/Basel,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Baton Rouge,https://en.wikipedia.org/wiki/Baton_Rouge,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Beijing,https://en.wikipedia.org/wiki/Beijing,1,1,1,1,1,1,0,1,1,0,0,1,1,1
Belfast,https://en.wikipedia.org/wiki/Belfast,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Belgrade,https://en.wikipedia.org/wiki/Belgrade,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"Belleville, Ontario","https://en.wikipedia.org/wiki/Belleville,_Ontario",1,1,1,1,1,1,1,1,1,0,1,1,0,1
Belo Horizonte,https://en.wikipedia.org/wiki/Belo_Horizonte,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bendigo,https://en.wikipedia.org/wiki/Bendigo,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Bengaluru,https://en.wikipedia.org/wiki/Bengaluru,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Berlin,https://en.wikipedia.org/wiki/Berlin,1,1,1,1,1,1,0,1,1,1,1,1,1,1
