title,link
Massachusetts Institute of Technology,https://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology
University of Oxford,https://en.wikipedia.org/wiki/University_of_Oxford
University of Cambridge,https://en.wikipedia.org/wiki/University_of_Cambridge
Stanford University,https://en.wikipedia.org/wiki/Stanford_University
Harvard University,https://en.wikipedia.org/wiki/Harvard_University
California Institute of Technology,https://en.wikipedia.org/wiki/California_Institute_of_Technology
Imperial College London,https://en.wikipedia.org/wiki/Imperial_College_London
Swiss Federal Institute of Technology in Zurich,https://en.wikipedia.org/wiki/Swiss_Federal_Institute_of_Technology_in_Zurich
University College London,https://en.wikipedia.org/wiki/University_College_London
University of Chicago,https://en.wikipedia.org/wiki/University_of_Chicago
National University of Singapore,https://en.wikipedia.org/wiki/National_University_of_Singapore
University of Pennsylvania,https://en.wikipedia.org/wiki/University_of_Pennsylvania
Nanyang Technological University,https://en.wikipedia.org/wiki/Nanyang_Technological_University
Swiss Federal Institute of Technology in Lausanne,https://en.wikipedia.org/wiki/Swiss_Federal_Institute_of_Technology_in_Lausanne
Yale University,https://en.wikipedia.org/wiki/Yale_University
University of Edinburgh,https://en.wikipedia.org/wiki/University_of_Edinburgh
Tsinghua University,https://en.wikipedia.org/wiki/Tsinghua_University
Peking University,https://en.wikipedia.org/wiki/Peking_University
Columbia University,https://en.wikipedia.org/wiki/Columbia_University
Princeton University,https://en.wikipedia.org/wiki/Princeton_University
Cornell University,https://en.wikipedia.org/wiki/Cornell_University
University of Hong Kong,https://en.wikipedia.org/wiki/University_of_Hong_Kong
University of Tokyo,https://en.wikipedia.org/wiki/University_of_Tokyo
University of Michigan,https://en.wikipedia.org/wiki/University_of_Michigan
Johns Hopkins University,https://en.wikipedia.org/wiki/Johns_Hopkins_University
University of Toronto,https://en.wikipedia.org/wiki/University_of_Toronto
McGill University,https://en.wikipedia.org/wiki/McGill_University
Australian National University,https://en.wikipedia.org/wiki/Australian_National_University
University of Manchester,https://en.wikipedia.org/wiki/University_of_Manchester
Northwestern University,https://en.wikipedia.org/wiki/Northwestern_University
Fudan University,https://en.wikipedia.org/wiki/Fudan_University
"University of California, Berkeley","https://en.wikipedia.org/wiki/University_of_California,_Berkeley"
Kyoto University,https://en.wikipedia.org/wiki/Kyoto_University
Hong Kong University of Science and Technology,https://en.wikipedia.org/wiki/Hong_Kong_University_of_Science_and_Technology
King's College London,https://en.wikipedia.org/wiki/King%27s_College_London
