title,link
3M,https://en.wikipedia.org/wiki/3M
Abbott Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories
The Travelers Companies,https://en.wikipedia.org/wiki/The_Travelers_Companies
"Tesla, Inc.","https://en.wikipedia.org/wiki/Tesla,_Inc."
Philip Morris International,https://en.wikipedia.org/wiki/Philip_Morris_International
Raytheon Company,https://en.wikipedia.org/wiki/Raytheon_Company
Hewlett Packard Enterprise,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise
Arrow Electronics,https://en.wikipedia.org/wiki/Arrow_Electronics
ViacomCBS,https://en.wikipedia.org/wiki/ViacomCBS
U.S. Bancorp,https://en.wikipedia.org/wiki/U.S._Bancorp
Starbucks,https://en.wikipedia.org/wiki/Starbucks
Bristol-Myers Squibb,https://en.wikipedia.org/wiki/Bristol-Myers_Squibb
Mondelez International,https://en.wikipedia.org/wiki/Mondelez_International
Paccar,https://en.wikipedia.org/wiki/Paccar
Thermo Fisher Scientific,https://en.wikipedia.org/wiki/Thermo_Fisher_Scientific
Jabil,https://en.wikipedia.org/wiki/Jabil
Kraft Heinz,https://en.wikipedia.org/wiki/Kraft_Heinz
Qualcomm,https://en.wikipedia.org/wiki/Qualcomm
CBRE Group,https://en.wikipedia.org/wiki/CBRE_Group
Baker Hughes,https://en.wikipedia.org/wiki/Baker_Hughes
Dollar Tree,https://en.wikipedia.org/wiki/Dollar_Tree
Cummins,https://en.wikipedia.org/wiki/Cummins
Micron Technology,https://en.wikipedia.org/wiki/Micron_Technology
Amgen,https://en.wikipedia.org/wiki/Amgen
Visa Inc.,https://en.wikipedia.org/wiki/Visa_Inc.
Broadcom Inc.,https://en.wikipedia.org/wiki/Broadcom_Inc.
Nucor,https://en.wikipedia.org/wiki/Nucor
Gilead Sciences,https://en.wikipedia.org/wiki/Gilead_Sciences
Southwest Airlines,https://en.wikipedia.org/wiki/Southwest_Airlines
Halliburton,https://en.wikipedia.org/wiki/Halliburton
CenturyLink,https://en.wikipedia.org/wiki/CenturyLink
International Paper,https://en.wikipedia.org/wiki/International_Paper
Eli Lilly and Company,https://en.wikipedia.org/wiki/Eli_Lilly_and_Company
Aflac,https://en.wikipedia.org/wiki/Aflac
Occidental Petroleum,https://en.wikipedia.org/wiki/Occidental_Petroleum
Rite Aid,https://en.wikipedia.org/wiki/Rite_Aid
PNC Financial Services,https://en.wikipedia.org/wiki/PNC_Financial_Services
DuPont,https://en.wikipedia.org/wiki/DuPont
DXC Technology,https://en.wikipedia.org/wiki/DXC_Technology
McDonald's,https://en.wikipedia.org/wiki/McDonald%27s
Marriott International,https://en.wikipedia.org/wiki/Marriott_International
ManpowerGroup,https://en.wikipedia.org/wiki/ManpowerGroup
Bank of New York Mellon,https://en.wikipedia.org/wiki/Bank_of_New_York_Mellon
Danaher Corporation,https://en.wikipedia.org/wiki/Danaher_Corporation
Whirlpool Corporation,https://en.wikipedia.org/wiki/Whirlpool_Corporation
AECOM,https://en.wikipedia.org/wiki/AECOM
Netflix,https://en.wikipedia.org/wiki/Netflix
Kohl's,https://en.wikipedia.org/wiki/Kohl%27s
Altria,https://en.wikipedia.org/wiki/Altria
NextEra Energy,https://en.wikipedia.org/wiki/NextEra_Energy
Kimberly-Clark,https://en.wikipedia.org/wiki/Kimberly-Clark
Emerson Electric,https://en.wikipedia.org/wiki/Emerson_Electric
JLL (company),https://en.wikipedia.org/wiki/JLL_(company)
Sherwin-Williams,https://en.wikipedia.org/wiki/Sherwin-Williams
Fluor Corporation,https://en.wikipedia.org/wiki/Fluor_Corporation
PayPal,https://en.wikipedia.org/wiki/PayPal
Tenneco,https://en.wikipedia.org/wiki/Tenneco
"Becton, Dickinson and Company","https://en.wikipedia.org/wiki/Becton,_Dickinson_and_Company"
Pacific Gas and Electric Company,https://en.wikipedia.org/wiki/Pacific_Gas_and_Electric_Company
Salesforce,https://en.wikipedia.org/wiki/Salesforce
Mastercard,https://en.wikipedia.org/wiki/Mastercard
General Mills,https://en.wikipedia.org/wiki/General_Mills
Cognizant,https://en.wikipedia.org/wiki/Cognizant
Western Digital,https://en.wikipedia.org/wiki/Western_Digital
Gap Inc.,https://en.wikipedia.org/wiki/Gap_Inc.
Motorola Solutions,https://en.wikipedia.org/wiki/Motorola_Solutions
Regeneron Pharmaceuticals,https://en.wikipedia.org/wiki/Regeneron_Pharmaceuticals
KeyBank,https://en.wikipedia.org/wiki/KeyBank
American Tower,https://en.wikipedia.org/wiki/American_Tower
Devon Energy,https://en.wikipedia.org/wiki/Devon_Energy
The Blackstone Group,https://en.wikipedia.org/wiki/The_Blackstone_Group
Dean Foods,https://en.wikipedia.org/wiki/Dean_Foods
Avery Dennison,https://en.wikipedia.org/wiki/Avery_Dennison
NCR Corporation,https://en.wikipedia.org/wiki/NCR_Corporation
Northern Trust,https://en.wikipedia.org/wiki/Northern_Trust
Polaris Inc.,https://en.wikipedia.org/wiki/Polaris_Inc.
Intuit,https://en.wikipedia.org/wiki/Intuit
Advanced Micro Devices,https://en.wikipedia.org/wiki/Advanced_Micro_Devices
Booz Allen Hamilton,https://en.wikipedia.org/wiki/Booz_Allen_Hamilton
S&P Global,https://en.wikipedia.org/wiki/S%26P_Global
Rockwell Automation,https://en.wikipedia.org/wiki/Rockwell_Automation
O-I Glass,https://en.wikipedia.org/wiki/O-I_Glass
Wynn Resorts,https://en.wikipedia.org/wiki/Wynn_Resorts
Intercontinental Exchange,https://en.wikipedia.org/wiki/Intercontinental_Exchange
Hess Corporation,https://en.wikipedia.org/wiki/Hess_Corporation
Activision Blizzard,https://en.wikipedia.org/wiki/Activision_Blizzard
GameStop,https://en.wikipedia.org/wiki/GameStop
APA Corporation,https://en.wikipedia.org/wiki/APA_Corporation
Dillard's,https://en.wikipedia.org/wiki/Dillard%27s
Ralph Lauren Corporation,https://en.wikipedia.org/wiki/Ralph_Lauren_Corporation
Celanese,https://en.wikipedia.org/wiki/Celanese
Clorox,https://en.wikipedia.org/wiki/Clorox
NetApp,https://en.wikipedia.org/wiki/NetApp
Analog Devices,https://en.wikipedia.org/wiki/Analog_Devices
Franklin Templeton Investments,https://en.wikipedia.org/wiki/Franklin_Templeton_Investments
Levi Strauss & Co.,https://en.wikipedia.org/wiki/Levi_Strauss_%26_Co.
Alcoa,https://en.wikipedia.org/wiki/Alcoa
Liberty Media,https://en.wikipedia.org/wiki/Liberty_Media
AES Corporation,https://en.wikipedia.org/wiki/AES_Corporation
Fiserv,https://en.wikipedia.org/wiki/Fiserv
Newell Brands,https://en.wikipedia.org/wiki/Newell_Brands
News Corp (2013–present),https://en.wikipedia.org/wiki/News_Corp_(2013%E2%80%93present)
Campbell Soup Company,https://en.wikipedia.org/wiki/Campbell_Soup_Company
Fifth Third Bank,https://en.wikipedia.org/wiki/Fifth_Third_Bank
Hertz Corporation,https://en.wikipedia.org/wiki/Hertz_Corporation
Newmont Corporation,https://en.wikipedia.org/wiki/Newmont_Corporation
Lam Research,https://en.wikipedia.org/wiki/Lam_Research
Conagra Brands,https://en.wikipedia.org/wiki/Conagra_Brands
Hormel,https://en.wikipedia.org/wiki/Hormel
Hilton Worldwide,https://en.wikipedia.org/wiki/Hilton_Worldwide
Pioneer Natural Resources,https://en.wikipedia.org/wiki/Pioneer_Natural_Resources
Eastman Chemical Company,https://en.wikipedia.org/wiki/Eastman_Chemical_Company
Avis Budget Group,https://en.wikipedia.org/wiki/Avis_Budget_Group
Xerox,https://en.wikipedia.org/wiki/Xerox
Wayfair,https://en.wikipedia.org/wiki/Wayfair
Kohlberg Kravis Roberts,https://en.wikipedia.org/wiki/Kohlberg_Kravis_Roberts
AGCO,https://en.wikipedia.org/wiki/AGCO
Air Products & Chemicals,https://en.wikipedia.org/wiki/Air_Products_%26_Chemicals
Huntington Ingalls Industries,https://en.wikipedia.org/wiki/Huntington_Ingalls_Industries
Alaska Air Group,https://en.wikipedia.org/wiki/Alaska_Air_Group
"Coty, Inc.","https://en.wikipedia.org/wiki/Coty,_Inc."
Autoliv,https://en.wikipedia.org/wiki/Autoliv
Oshkosh Corporation,https://en.wikipedia.org/wiki/Oshkosh_Corporation
Huntsman Corporation,https://en.wikipedia.org/wiki/Huntsman_Corporation
Amphenol,https://en.wikipedia.org/wiki/Amphenol
Williams Companies,https://en.wikipedia.org/wiki/Williams_Companies
JetBlue,https://en.wikipedia.org/wiki/JetBlue
Foot Locker,https://en.wikipedia.org/wiki/Foot_Locker
The Hershey Company,https://en.wikipedia.org/wiki/The_Hershey_Company
Zimmer Biomet,https://en.wikipedia.org/wiki/Zimmer_Biomet
Ross Stores,https://en.wikipedia.org/wiki/Ross_Stores
Colgate-Palmolive,https://en.wikipedia.org/wiki/Colgate-Palmolive
American Electric Power,https://en.wikipedia.org/wiki/American_Electric_Power
Nordstrom,https://en.wikipedia.org/wiki/Nordstrom
Jacobs Engineering Group,https://en.wikipedia.org/wiki/Jacobs_Engineering_Group
PPG Industries,https://en.wikipedia.org/wiki/PPG_Industries
Booking Holdings,https://en.wikipedia.org/wiki/Booking_Holdings
Omnicom Group,https://en.wikipedia.org/wiki/Omnicom_Group
Ecolab,https://en.wikipedia.org/wiki/Ecolab
Estée Lauder Companies,https://en.wikipedia.org/wiki/Est%C3%A9e_Lauder_Companies
Goodyear Tire and Rubber Company,https://en.wikipedia.org/wiki/Goodyear_Tire_and_Rubber_Company
