title,link,en,de,fr,es,nl,ar,hi,tr,af,zh,ceb,ko,sv,ru
Russia,https://en.wikipedia.org/wiki/Russia,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Antarctica,https://en.wikipedia.org/wiki/Antarctica,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Canada,https://en.wikipedia.org/wiki/Canada,1,1,1,1,1,1,1,1,1,1,0,1,1,1
China,https://en.wikipedia.org/wiki/China,1,1,1,1,1,1,1,1,1,1,0,1,1,1
United States,https://en.wikipedia.org/wiki/United_States,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Brazil,https://en.wikipedia.org/wiki/Brazil,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Australia,https://en.wikipedia.org/wiki/Australia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
India,https://en.wikipedia.org/wiki/India,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Argentina,https://en.wikipedia.org/wiki/Argentina,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Algeria,https://en.wikipedia.org/wiki/Algeria,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Denmark,https://en.wikipedia.org/wiki/Denmark,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Greenland,https://en.wikipedia.org/wiki/Greenland,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Mexico,https://en.wikipedia.org/wiki/Mexico,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Indonesia,https://en.wikipedia.org/wiki/Indonesia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Sudan,https://en.wikipedia.org/wiki/Sudan,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Libya,https://en.wikipedia.org/wiki/Libya,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Iran,https://en.wikipedia.org/wiki/Iran,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Mongolia,https://en.wikipedia.org/wiki/Mongolia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Peru,https://en.wikipedia.org/wiki/Peru,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chad,https://en.wikipedia.org/wiki/Chad,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Niger,https://en.wikipedia.org/wiki/Niger,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Angola,https://en.wikipedia.org/wiki/Angola,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mali,https://en.wikipedia.org/wiki/Mali,1,1,1,1,1,1,1,1,1,1,0,1,1,1
South Africa,https://en.wikipedia.org/wiki/South_Africa,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Colombia,https://en.wikipedia.org/wiki/Colombia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Bolivia,https://en.wikipedia.org/wiki/Bolivia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Mauritania,https://en.wikipedia.org/wiki/Mauritania,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Egypt,https://en.wikipedia.org/wiki/Egypt,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Tanzania,https://en.wikipedia.org/wiki/Tanzania,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Nigeria,https://en.wikipedia.org/wiki/Nigeria,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Venezuela,https://en.wikipedia.org/wiki/Venezuela,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Pakistan,https://en.wikipedia.org/wiki/Pakistan,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Namibia,https://en.wikipedia.org/wiki/Namibia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
