title,link
Acinetobacter,https://en.wikipedia.org/wiki/Acinetobacter
Actinomycosis,https://en.wikipedia.org/wiki/Actinomycosis
Adenovirus infection,https://en.wikipedia.org/wiki/Adenovirus_infection
African trypanosomiasis,https://en.wikipedia.org/wiki/African_trypanosomiasis
HIV/AIDS,https://en.wikipedia.org/wiki/HIV/AIDS
Amoebiasis,https://en.wikipedia.org/wiki/Amoebiasis
Anaplasmosis,https://en.wikipedia.org/wiki/Anaplasmosis
Angiostrongyliasis,https://en.wikipedia.org/wiki/Angiostrongyliasis
Anisakis,https://en.wikipedia.org/wiki/Anisakis#Anisakiasis
Anthrax,https://en.wikipedia.org/wiki/Anthrax
Arcanobacterium haemolyticum infection,https://en.wikipedia.org/wiki/Arcanobacterium_haemolyticum_infection
Argentine hemorrhagic fever,https://en.wikipedia.org/wiki/Argentine_hemorrhagic_fever
Ascariasis,https://en.wikipedia.org/wiki/Ascariasis
Aspergillosis,https://en.wikipedia.org/wiki/Aspergillosis
Astrovirus,https://en.wikipedia.org/wiki/Astrovirus
Babesiosis,https://en.wikipedia.org/wiki/Babesiosis
Bacillus cereus,https://en.wikipedia.org/wiki/Bacillus_cereus
Bacterial meningitis,https://en.wikipedia.org/wiki/Bacterial_meningitis
Bacterial pneumonia,https://en.wikipedia.org/wiki/Bacterial_pneumonia
Bacterial vaginosis,https://en.wikipedia.org/wiki/Bacterial_vaginosis
Bacteroides,https://en.wikipedia.org/wiki/Bacteroides
Balantidiasis,https://en.wikipedia.org/wiki/Balantidiasis
Bartonellosis,https://en.wikipedia.org/wiki/Bartonellosis
Baylisascaris,https://en.wikipedia.org/wiki/Baylisascaris
BK virus,https://en.wikipedia.org/wiki/BK_virus
Black piedra,https://en.wikipedia.org/wiki/Black_piedra
Blastocystosis,https://en.wikipedia.org/wiki/Blastocystosis
Blastomycosis,https://en.wikipedia.org/wiki/Blastomycosis
Bolivian hemorrhagic fever,https://en.wikipedia.org/wiki/Bolivian_hemorrhagic_fever
Botulism,https://en.wikipedia.org/wiki/Botulism
Brazilian hemorrhagic fever,https://en.wikipedia.org/wiki/Brazilian_hemorrhagic_fever
Brucellosis,https://en.wikipedia.org/wiki/Brucellosis
Bubonic plague,https://en.wikipedia.org/wiki/Bubonic_plague
Burkholderia,https://en.wikipedia.org/wiki/Burkholderia
Buruli ulcer,https://en.wikipedia.org/wiki/Buruli_ulcer
Caliciviridae,https://en.wikipedia.org/wiki/Caliciviridae
Campylobacteriosis,https://en.wikipedia.org/wiki/Campylobacteriosis
Candidiasis,https://en.wikipedia.org/wiki/Candidiasis
Capillariasis,https://en.wikipedia.org/wiki/Capillariasis
Dental caries,https://en.wikipedia.org/wiki/Dental_caries
Carrion's disease,https://en.wikipedia.org/wiki/Carrion%27s_disease
Cat-scratch disease,https://en.wikipedia.org/wiki/Cat-scratch_disease
Cellulitis,https://en.wikipedia.org/wiki/Cellulitis
Chagas disease,https://en.wikipedia.org/wiki/Chagas_disease
Chancroid,https://en.wikipedia.org/wiki/Chancroid
Chickenpox,https://en.wikipedia.org/wiki/Chickenpox
Chikungunya,https://en.wikipedia.org/wiki/Chikungunya
Chlamydia infection,https://en.wikipedia.org/wiki/Chlamydia_infection
Chlamydophila pneumoniae,https://en.wikipedia.org/wiki/Chlamydophila_pneumoniae
Cholera,https://en.wikipedia.org/wiki/Cholera
Chromoblastomycosis,https://en.wikipedia.org/wiki/Chromoblastomycosis
Chytridiomycosis,https://en.wikipedia.org/wiki/Chytridiomycosis
Clonorchiasis,https://en.wikipedia.org/wiki/Clonorchiasis
Clostridium difficile colitis,https://en.wikipedia.org/wiki/Clostridium_difficile_colitis
Coccidioidomycosis,https://en.wikipedia.org/wiki/Coccidioidomycosis
Colorado tick fever,https://en.wikipedia.org/wiki/Colorado_tick_fever
Common cold,https://en.wikipedia.org/wiki/Common_cold
Coronavirus disease 2019,https://en.wikipedia.org/wiki/Coronavirus_disease_2019
