title,link
Malus pumila,https://en.wikipedia.org/wiki/Malus_pumila
Pseudocydonia sinensis,https://en.wikipedia.org/wiki/Pseudocydonia_sinensis
Aronia melanocarpa,https://en.wikipedia.org/wiki/Aronia_melanocarpa
Crataegus aestivalis,https://en.wikipedia.org/wiki/Crataegus_aestivalis
Crataegus rhipidophylla,https://en.wikipedia.org/wiki/Crataegus_rhipidophylla
Genipa americana,https://en.wikipedia.org/wiki/Genipa_americana
Eriobotrya japonica,https://en.wikipedia.org/wiki/Eriobotrya_japonica
Flacourtia inermis,https://en.wikipedia.org/wiki/Flacourtia_inermis
Mespilus germanica,https://en.wikipedia.org/wiki/Mespilus_germanica
Pyrus communis,https://en.wikipedia.org/wiki/Pyrus_communis
Cydonia oblonga,https://en.wikipedia.org/wiki/Cydonia_oblonga
Flacourtia indica,https://en.wikipedia.org/wiki/Flacourtia_indica
Sorbus aucuparia,https://en.wikipedia.org/wiki/Sorbus_aucuparia
Manilkara zapota,https://en.wikipedia.org/wiki/Manilkara_zapota
Amelanchier alnifolia,https://en.wikipedia.org/wiki/Amelanchier_alnifolia
Pyracantha coccinea,https://en.wikipedia.org/wiki/Pyracantha_coccinea
Sorbus domestica,https://en.wikipedia.org/wiki/Sorbus_domestica
Malus angustifolia,https://en.wikipedia.org/wiki/Malus_angustifolia
Heteromeles arbutifolia,https://en.wikipedia.org/wiki/Heteromeles_arbutifolia
Euterpe oleracea,https://en.wikipedia.org/wiki/Euterpe_oleracea
Malpighia emarginata,https://en.wikipedia.org/wiki/Malpighia_emarginata
Irvingia gabonensis,https://en.wikipedia.org/wiki/Irvingia_gabonensis
Garcinia livingstonei,https://en.wikipedia.org/wiki/Garcinia_livingstonei
Elaeis guineensis,https://en.wikipedia.org/wiki/Elaeis_guineensis
Pourouma cecropiifolia,https://en.wikipedia.org/wiki/Pourouma_cecropiifolia
Spondias dulcis,https://en.wikipedia.org/wiki/Spondias_dulcis
Elaeis oleifera,https://en.wikipedia.org/wiki/Elaeis_oleifera
Prunus americana,https://en.wikipedia.org/wiki/Prunus_americana
Prunus armeniaca,https://en.wikipedia.org/wiki/Prunus_armeniaca
Prunus maritima,https://en.wikipedia.org/wiki/Prunus_maritima
Antidesma bunius,https://en.wikipedia.org/wiki/Antidesma_bunius
Mangifera caesia,https://en.wikipedia.org/wiki/Mangifera_caesia
Prunus serotina,https://en.wikipedia.org/wiki/Prunus_serotina
Parajubaea torallyi,https://en.wikipedia.org/wiki/Parajubaea_torallyi
Syzygium australe,https://en.wikipedia.org/wiki/Syzygium_australe
Ziziphus mucronata,https://en.wikipedia.org/wiki/Ziziphus_mucronata
Pleiogynium timoriense,https://en.wikipedia.org/wiki/Pleiogynium_timoriense
Dacryodes edulis,https://en.wikipedia.org/wiki/Dacryodes_edulis
Cornus canadensis,https://en.wikipedia.org/wiki/Cornus_canadensis
Casimiroa edulis,https://en.wikipedia.org/wiki/Casimiroa_edulis
Byrsonima crassifolia,https://en.wikipedia.org/wiki/Byrsonima_crassifolia
Prunus avium,https://en.wikipedia.org/wiki/Prunus_avium
Elaeagnus multiflora,https://en.wikipedia.org/wiki/Elaeagnus_multiflora
Eugenia involucrata,https://en.wikipedia.org/wiki/Eugenia_involucrata
Ziziphus mauritiana,https://en.wikipedia.org/wiki/Ziziphus_mauritiana
Prunus virginiana,https://en.wikipedia.org/wiki/Prunus_virginiana
Chrysobalanus icaco,https://en.wikipedia.org/wiki/Chrysobalanus_icaco
Cocos nucifera,https://en.wikipedia.org/wiki/Cocos_nucifera
Frangula californica,https://en.wikipedia.org/wiki/Frangula_californica
Cornus mas,https://en.wikipedia.org/wiki/Cornus_mas
Terminalia catappa,https://en.wikipedia.org/wiki/Terminalia_catappa
Empetrum nigrum,https://en.wikipedia.org/wiki/Empetrum_nigrum
Murraya koenigii,https://en.wikipedia.org/wiki/Murraya_koenigii
Prunus domestica subsp. insititia,https://en.wikipedia.org/wiki/Prunus_domestica_subsp._insititia
Phoenix dactylifera,https://en.wikipedia.org/wiki/Phoenix_dactylifera
Santalum acuminatum,https://en.wikipedia.org/wiki/Santalum_acuminatum
Phyllanthus emblica,https://en.wikipedia.org/wiki/Phyllanthus_emblica
Litsea garciae,https://en.wikipedia.org/wiki/Litsea_garciae
Prunus umbellata,https://en.wikipedia.org/wiki/Prunus_umbellata
Bouea macrophylla,https://en.wikipedia.org/wiki/Bouea_macrophylla
Gomortega keule,https://en.wikipedia.org/wiki/Gomortega_keule
Greengage,https://en.wikipedia.org/wiki/Greengage
Myrciaria floribunda,https://en.wikipedia.org/wiki/Myrciaria_floribunda
Terminalia ferdinandiana,https://en.wikipedia.org/wiki/Terminalia_ferdinandiana
Celtis occidentalis,https://en.wikipedia.org/wiki/Celtis_occidentalis
Syzygium cumini,https://en.wikipedia.org/wiki/Syzygium_cumini
Elaeagnus umbellata,https://en.wikipedia.org/wiki/Elaeagnus_umbellata
Butia capitata,https://en.wikipedia.org/wiki/Butia_capitata
Spondias purpurea,https://en.wikipedia.org/wiki/Spondias_purpurea
Ziziphus jujuba,https://en.wikipedia.org/wiki/Ziziphus_jujuba
Nephelium hypoleucum,https://en.wikipedia.org/wiki/Nephelium_hypoleucum
Acronychia acidula,https://en.wikipedia.org/wiki/Acronychia_acidula
Dimocarpus longan,https://en.wikipedia.org/wiki/Dimocarpus_longan
Litchi chinensis,https://en.wikipedia.org/wiki/Litchi_chinensis
Syzygium malaccense,https://en.wikipedia.org/wiki/Syzygium_malaccense
Pouteria sapota,https://en.wikipedia.org/wiki/Pouteria_sapota
Mangifera indica,https://en.wikipedia.org/wiki/Mangifera_indica
Sclerocarya birrea,https://en.wikipedia.org/wiki/Sclerocarya_birrea
Synsepalum dulcificum,https://en.wikipedia.org/wiki/Synsepalum_dulcificum
Mauritia flexuosa,https://en.wikipedia.org/wiki/Mauritia_flexuosa
Kunzea pomifera,https://en.wikipedia.org/wiki/Kunzea_pomifera
Viburnum lentago,https://en.wikipedia.org/wiki/Viburnum_lentago
Peach,https://en.wikipedia.org/wiki/Peach#Nectarines
Azadirachta indica,https://en.wikipedia.org/wiki/Azadirachta_indica
Choerospondias axillaris,https://en.wikipedia.org/wiki/Choerospondias_axillaris
Nypa fruticans,https://en.wikipedia.org/wiki/Nypa_fruticans
Myristica fragrans,https://en.wikipedia.org/wiki/Myristica_fragrans
Phyllanthus acidus,https://en.wikipedia.org/wiki/Phyllanthus_acidus
Prunus persica,https://en.wikipedia.org/wiki/Prunus_persica
Caryocar brasiliense,https://en.wikipedia.org/wiki/Caryocar_brasiliense
Grewia asiatica,https://en.wikipedia.org/wiki/Grewia_asiatica
Coccoloba diversifolia,https://en.wikipedia.org/wiki/Coccoloba_diversifolia
Canarium ovatum,https://en.wikipedia.org/wiki/Canarium_ovatum
Eugenia uniflora,https://en.wikipedia.org/wiki/Eugenia_uniflora
Prunus domestica,https://en.wikipedia.org/wiki/Prunus_domestica
Nephelium mutabile,https://en.wikipedia.org/wiki/Nephelium_mutabile
Syagrus romanzoffiana,https://en.wikipedia.org/wiki/Syagrus_romanzoffiana
Nephelium lappaceum,https://en.wikipedia.org/wiki/Nephelium_lappaceum
Syzygium luehmannii,https://en.wikipedia.org/wiki/Syzygium_luehmannii
Sabal palmetto,https://en.wikipedia.org/wiki/Sabal_palmetto
Sageretia theezans,https://en.wikipedia.org/wiki/Sageretia_theezans
Serenoa repens,https://en.wikipedia.org/wiki/Serenoa_repens
Lodoicea maldivica,https://en.wikipedia.org/wiki/Lodoicea_maldivica
Coccoloba uvifera,https://en.wikipedia.org/wiki/Coccoloba_uvifera
Ardisia elliptica,https://en.wikipedia.org/wiki/Ardisia_elliptica
Shepherdia argentea,https://en.wikipedia.org/wiki/Shepherdia_argentea
Bunchosia argentea,https://en.wikipedia.org/wiki/Bunchosia_argentea
Prunus spinosa,https://en.wikipedia.org/wiki/Prunus_spinosa
Mimusops elengi,https://en.wikipedia.org/wiki/Mimusops_elengi
Melicoccus bijugatus,https://en.wikipedia.org/wiki/Melicoccus_bijugatus
Rhus typhina,https://en.wikipedia.org/wiki/Rhus_typhina
Syzygium aqueum,https://en.wikipedia.org/wiki/Syzygium_aqueum
Syzygium samarangense,https://en.wikipedia.org/wiki/Syzygium_samarangense
Myrica rubra,https://en.wikipedia.org/wiki/Myrica_rubra
Spondias mombin,https://en.wikipedia.org/wiki/Spondias_mombin
Ximenia americana,https://en.wikipedia.org/wiki/Ximenia_americana
Pouteria caimito,https://en.wikipedia.org/wiki/Pouteria_caimito
Sambucus canadensis,https://en.wikipedia.org/wiki/Sambucus_canadensis
Diospyros virginiana,https://en.wikipedia.org/wiki/Diospyros_virginiana
Billardiera scandens,https://en.wikipedia.org/wiki/Billardiera_scandens
Coffea arabica,https://en.wikipedia.org/wiki/Coffea_arabica
Eugenia stipitata,https://en.wikipedia.org/wiki/Eugenia_stipitata
Vasconcellea × heilbornii,https://en.wikipedia.org/wiki/Vasconcellea_%C3%97_heilbornii
Musa acuminata,https://en.wikipedia.org/wiki/Musa_acuminata
Berberis vulgaris,https://en.wikipedia.org/wiki/Berberis_vulgaris
Arctostaphylos uva-ursi,https://en.wikipedia.org/wiki/Arctostaphylos_uva-ursi
Carissa carandas,https://en.wikipedia.org/wiki/Carissa_carandas
Vaccinium myrtillus,https://en.wikipedia.org/wiki/Vaccinium_myrtillus
Myrtillocactus geometrizans,https://en.wikipedia.org/wiki/Myrtillocactus_geometrizans
Ribes nigrum,https://en.wikipedia.org/wiki/Ribes_nigrum
Diospyros nigra,https://en.wikipedia.org/wiki/Diospyros_nigra
Vaccinium corymbosum,https://en.wikipedia.org/wiki/Vaccinium_corymbosum
Eugenia brasiliensis,https://en.wikipedia.org/wiki/Eugenia_brasiliensis
Psidium guineense,https://en.wikipedia.org/wiki/Psidium_guineense
Stelechocarpus burahol,https://en.wikipedia.org/wiki/Stelechocarpus_burahol
Chrysophyllum cainito,https://en.wikipedia.org/wiki/Chrysophyllum_cainito
Muntingia calabura,https://en.wikipedia.org/wiki/Muntingia_calabura
Myrciaria dubia,https://en.wikipedia.org/wiki/Myrciaria_dubia
