title,link
Acepromazine,https://en.wikipedia.org/wiki/Acepromazine
Chlorpromazine,https://en.wikipedia.org/wiki/Chlorpromazine
Chlorprothixene,https://en.wikipedia.org/wiki/Chlorprothixene
Droperidol,https://en.wikipedia.org/wiki/Droperidol
Fluphenazine,https://en.wikipedia.org/wiki/Fluphenazine
Haloperidol,https://en.wikipedia.org/wiki/Haloperidol
Levomepromazine,https://en.wikipedia.org/wiki/Levomepromazine
Loxapine,https://en.wikipedia.org/wiki/Loxapine
Perphenazine,https://en.wikipedia.org/wiki/Perphenazine
Pimozide,https://en.wikipedia.org/wiki/Pimozide
Prochlorperazine,https://en.wikipedia.org/wiki/Prochlorperazine
Trifluoperazine,https://en.wikipedia.org/wiki/Trifluoperazine
Trifluperidol,https://en.wikipedia.org/wiki/Trifluperidol
Amisulpride,https://en.wikipedia.org/wiki/Amisulpride
Aripiprazole,https://en.wikipedia.org/wiki/Aripiprazole
Cariprazine,https://en.wikipedia.org/wiki/Cariprazine
Clozapine,https://en.wikipedia.org/wiki/Clozapine
Lurasidone,https://en.wikipedia.org/wiki/Lurasidone
Olanzapine,https://en.wikipedia.org/wiki/Olanzapine
Paliperidone,https://en.wikipedia.org/wiki/Paliperidone
Quetiapine,https://en.wikipedia.org/wiki/Quetiapine
Reserpine,https://en.wikipedia.org/wiki/Reserpine
Risperidone,https://en.wikipedia.org/wiki/Risperidone
Sertindole,https://en.wikipedia.org/wiki/Sertindole
Sulpiride,https://en.wikipedia.org/wiki/Sulpiride
Ziprasidone,https://en.wikipedia.org/wiki/Ziprasidone
Abacavir,https://en.wikipedia.org/wiki/Abacavir
Acyclovir,https://en.wikipedia.org/wiki/Acyclovir
Adefovir,https://en.wikipedia.org/wiki/Adefovir
Amantadine,https://en.wikipedia.org/wiki/Amantadine
Prolixin,https://en.wikipedia.org/wiki/Prolixin
Provigil,https://en.wikipedia.org/wiki/Provigil
Prozac,https://en.wikipedia.org/wiki/Prozac
Remeron,https://en.wikipedia.org/wiki/Remeron
Restoril,https://en.wikipedia.org/wiki/Restoril
Risperdal,https://en.wikipedia.org/wiki/Risperdal
Ritalin,https://en.wikipedia.org/wiki/Ritalin
Reminyl,https://en.wikipedia.org/wiki/Reminyl
ReVia,https://en.wikipedia.org/wiki/ReVia
Serax,https://en.wikipedia.org/wiki/Serax
Zaleplon,https://en.wikipedia.org/wiki/Zaleplon
Spravato,https://en.wikipedia.org/wiki/Spravato
Stelazine,https://en.wikipedia.org/wiki/Stelazine
Strattera,https://en.wikipedia.org/wiki/Strattera
Thorazine,https://en.wikipedia.org/wiki/Thorazine
Imipramine,https://en.wikipedia.org/wiki/Imipramine
Topamax,https://en.wikipedia.org/wiki/Topamax
Trileptal,https://en.wikipedia.org/wiki/Trileptal
Vortioxetine,https://en.wikipedia.org/wiki/Vortioxetine
Tegretol,https://en.wikipedia.org/wiki/Tegretol
Valium,https://en.wikipedia.org/wiki/Valium
Vistaril,https://en.wikipedia.org/wiki/Vistaril
Vyvanse,https://en.wikipedia.org/wiki/Vyvanse
Vraylar,https://en.wikipedia.org/wiki/Vraylar
Wellbutrin,https://en.wikipedia.org/wiki/Wellbutrin
Zyban,https://en.wikipedia.org/wiki/Zyban
Xanax,https://en.wikipedia.org/wiki/Xanax
Zoloft,https://en.wikipedia.org/wiki/Zoloft
Zyprexa,https://en.wikipedia.org/wiki/Zyprexa
Umifenovir,https://en.wikipedia.org/wiki/Umifenovir
Atazanavir,https://en.wikipedia.org/wiki/Atazanavir
Atripla,https://en.wikipedia.org/wiki/Atripla
Baloxavir marboxil,https://en.wikipedia.org/wiki/Baloxavir_marboxil
Boceprevir,https://en.wikipedia.org/wiki/Boceprevir
Cobicistat,https://en.wikipedia.org/wiki/Cobicistat
Combivir,https://en.wikipedia.org/wiki/Combivir
Daclatasvir,https://en.wikipedia.org/wiki/Daclatasvir
Darunavir,https://en.wikipedia.org/wiki/Darunavir
Delavirdine,https://en.wikipedia.org/wiki/Delavirdine
Descovy,https://en.wikipedia.org/wiki/Descovy
Didanosine,https://en.wikipedia.org/wiki/Didanosine
Docosanol,https://en.wikipedia.org/wiki/Docosanol
Dolutegravir,https://en.wikipedia.org/wiki/Dolutegravir
Efavirenz,https://en.wikipedia.org/wiki/Efavirenz
Elvitegravir,https://en.wikipedia.org/wiki/Elvitegravir
Emtricitabine,https://en.wikipedia.org/wiki/Emtricitabine
Enfuvirtide,https://en.wikipedia.org/wiki/Enfuvirtide
Entecavir,https://en.wikipedia.org/wiki/Entecavir
Etravirine,https://en.wikipedia.org/wiki/Etravirine
Famciclovir,https://en.wikipedia.org/wiki/Famciclovir
Foscarnet,https://en.wikipedia.org/wiki/Foscarnet
Ganciclovir,https://en.wikipedia.org/wiki/Ganciclovir
Ibalizumab,https://en.wikipedia.org/wiki/Ibalizumab
Idoxuridine,https://en.wikipedia.org/wiki/Idoxuridine
Imiquimod,https://en.wikipedia.org/wiki/Imiquimod
Indinavir,https://en.wikipedia.org/wiki/Indinavir
Lamivudine,https://en.wikipedia.org/wiki/Lamivudine
Lopinavir,https://en.wikipedia.org/wiki/Lopinavir
Maraviroc,https://en.wikipedia.org/wiki/Maraviroc
Nelfinavir,https://en.wikipedia.org/wiki/Nelfinavir
Nevirapine,https://en.wikipedia.org/wiki/Nevirapine
Norvir,https://en.wikipedia.org/wiki/Norvir
Oseltamivir,https://en.wikipedia.org/wiki/Oseltamivir
