title,link
Tumulus of Bougon,https://en.wikipedia.org/wiki/Tumulus_of_Bougon
Saint-Michel tumulus,https://en.wikipedia.org/wiki/Saint-Michel_tumulus
Uruk,https://en.wikipedia.org/wiki/Uruk
Monte d'Accoddi,https://en.wikipedia.org/wiki/Monte_d%27Accoddi
La Hougue Bie,https://en.wikipedia.org/wiki/La_Hougue_Bie
Knap of Howar,https://en.wikipedia.org/wiki/Knap_of_Howar
Ġgantija,https://en.wikipedia.org/wiki/%C4%A0gantija
Dolmen of Menga,https://en.wikipedia.org/wiki/Dolmen_of_Menga
West Kennet Long Barrow,https://en.wikipedia.org/wiki/West_Kennet_Long_Barrow
Listoghil,https://en.wikipedia.org/wiki/Listoghil
Stoney Littleton Long Barrow,https://en.wikipedia.org/wiki/Stoney_Littleton_Long_Barrow
Sechin Bajo,https://en.wikipedia.org/wiki/Sechin_Bajo
Midhowe Chambered Cairn,https://en.wikipedia.org/wiki/Midhowe_Chambered_Cairn
Gavrinis,https://en.wikipedia.org/wiki/Gavrinis
Wayland's Smithy,https://en.wikipedia.org/wiki/Wayland%27s_Smithy
Unstan Chambered Cairn,https://en.wikipedia.org/wiki/Unstan_Chambered_Cairn
Loughcrew,https://en.wikipedia.org/wiki/Loughcrew
Tarxien Temples,https://en.wikipedia.org/wiki/Tarxien_Temples
Shahr-e Sukhteh,https://en.wikipedia.org/wiki/Shahr-e_Sukhteh
Newgrange,https://en.wikipedia.org/wiki/Newgrange
Knowth,https://en.wikipedia.org/wiki/Knowth
Dowth,https://en.wikipedia.org/wiki/Dowth
Skara Brae,https://en.wikipedia.org/wiki/Skara_Brae
Tomb of the Eagles,https://en.wikipedia.org/wiki/Tomb_of_the_Eagles
Dolmen de Bagneux,https://en.wikipedia.org/wiki/Dolmen_de_Bagneux
Grey Cairns of Camster,https://en.wikipedia.org/wiki/Grey_Cairns_of_Camster
Hulbjerg Jættestue,https://en.wikipedia.org/wiki/Hulbjerg_J%C3%A6ttestue
Dolmens of North Caucasus,https://en.wikipedia.org/wiki/Dolmens_of_North_Caucasus
Rousay,https://en.wikipedia.org/wiki/Rousay
Holm of Papa,https://en.wikipedia.org/wiki/Holm_of_Papa
Barpa Langass,https://en.wikipedia.org/wiki/Barpa_Langass
Cuween Hill Chambered Cairn,https://en.wikipedia.org/wiki/Cuween_Hill_Chambered_Cairn
Quoyness,https://en.wikipedia.org/wiki/Quoyness
Maeshowe,https://en.wikipedia.org/wiki/Maeshowe
Shunet El Zebib,https://en.wikipedia.org/wiki/Shunet_El_Zebib
Pyramid of Djoser,https://en.wikipedia.org/wiki/Pyramid_of_Djoser
Harappa,https://en.wikipedia.org/wiki/Harappa
Mohenjo-daro,https://en.wikipedia.org/wiki/Mohenjo-daro
Dholavira,https://en.wikipedia.org/wiki/Dholavira
Caral,https://en.wikipedia.org/wiki/Caral
Meidum,https://en.wikipedia.org/wiki/Meidum
Bent Pyramid,https://en.wikipedia.org/wiki/Bent_Pyramid
Red Pyramid,https://en.wikipedia.org/wiki/Red_Pyramid
Great Pyramid of Giza,https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza
Megalithic Monuments of Alcalar,https://en.wikipedia.org/wiki/Megalithic_Monuments_of_Alcalar
Capel Garmon,https://en.wikipedia.org/wiki/Capel_Garmon
Pyramid of Khafre,https://en.wikipedia.org/wiki/Pyramid_of_Khafre
Pyramid of Menkaure,https://en.wikipedia.org/wiki/Pyramid_of_Menkaure
Pyramid of Userkaf,https://en.wikipedia.org/wiki/Pyramid_of_Userkaf
Pyramid of Sahure,https://en.wikipedia.org/wiki/Pyramid_of_Sahure
Pyramid of Neferirkare Kakai,https://en.wikipedia.org/wiki/Pyramid_of_Neferirkare_Kakai
Pyramid of Neferefre,https://en.wikipedia.org/wiki/Pyramid_of_Neferefre
Niuserre,https://en.wikipedia.org/wiki/Niuserre
Ebla,https://en.wikipedia.org/wiki/Ebla
Pyramid of Djedkare-Isesi,https://en.wikipedia.org/wiki/Pyramid_of_Djedkare-Isesi
Pyramid of Unas,https://en.wikipedia.org/wiki/Pyramid_of_Unas
Pyramid of Teti,https://en.wikipedia.org/wiki/Pyramid_of_Teti
Labbacallee wedge tomb,https://en.wikipedia.org/wiki/Labbacallee_wedge_tomb
Shimao,https://en.wikipedia.org/wiki/Shimao
Pyramid of Merenre,https://en.wikipedia.org/wiki/Pyramid_of_Merenre
Pepi II Neferkare,https://en.wikipedia.org/wiki/Pepi_II_Neferkare
Rubha an Dùnain,https://en.wikipedia.org/wiki/Rubha_an_D%C3%B9nain
Bryn Celli Ddu,https://en.wikipedia.org/wiki/Bryn_Celli_Ddu
Clava cairn,https://en.wikipedia.org/wiki/Clava_cairn
Eday,https://en.wikipedia.org/wiki/Eday
Amenemhat I,https://en.wikipedia.org/wiki/Amenemhat_I
Pyramid of Senusret I,https://en.wikipedia.org/wiki/Pyramid_of_Senusret_I
Senusret II,https://en.wikipedia.org/wiki/Senusret_II
Knossos,https://en.wikipedia.org/wiki/Knossos
Senusret III,https://en.wikipedia.org/wiki/Senusret_III
Pyramid of Amenemhat III (Dahshur),https://en.wikipedia.org/wiki/Pyramid_of_Amenemhat_III_(Dahshur)
Hawara,https://en.wikipedia.org/wiki/Hawara
Pyramid of Khendjer,https://en.wikipedia.org/wiki/Pyramid_of_Khendjer
Nuraghe Santu Antine,https://en.wikipedia.org/wiki/Nuraghe_Santu_Antine
Su Nuraxi di Barumini,https://en.wikipedia.org/wiki/Su_Nuraxi_di_Barumini
Nuraghe La Prisciona,https://en.wikipedia.org/wiki/Nuraghe_La_Prisciona
The King's Grave,https://en.wikipedia.org/wiki/The_King%27s_Grave
Dur-Kurigalzu,https://en.wikipedia.org/wiki/Dur-Kurigalzu
Treasury of Atreus,https://en.wikipedia.org/wiki/Treasury_of_Atreus
Chogha Zanbil,https://en.wikipedia.org/wiki/Chogha_Zanbil
Naveta d'Es Tudons,https://en.wikipedia.org/wiki/Naveta_d%27Es_Tudons
Dún Aonghasa,https://en.wikipedia.org/wiki/D%C3%BAn_Aonghasa
Cuicuilco,https://en.wikipedia.org/wiki/Cuicuilco
Van Fortress,https://en.wikipedia.org/wiki/Van_Fortress
Cerveteri,https://en.wikipedia.org/wiki/Cerveteri
"Cyrene, Libya","https://en.wikipedia.org/wiki/Cyrene,_Libya"
Keezhadi excavation site,https://en.wikipedia.org/wiki/Keezhadi_excavation_site
Paestum,https://en.wikipedia.org/wiki/Paestum
Tomb of Cyrus,https://en.wikipedia.org/wiki/Tomb_of_Cyrus
Persepolis,https://en.wikipedia.org/wiki/Persepolis
Yeha,https://en.wikipedia.org/wiki/Yeha
Parthenon,https://en.wikipedia.org/wiki/Parthenon
Tomb of Seuthes III,https://en.wikipedia.org/wiki/Tomb_of_Seuthes_III
Thracian Tomb of Kazanlak,https://en.wikipedia.org/wiki/Thracian_Tomb_of_Kazanlak
Sanchi,https://en.wikipedia.org/wiki/Sanchi
Thracian Tomb of Sveshtari,https://en.wikipedia.org/wiki/Thracian_Tomb_of_Sveshtari
Dhamek Stupa,https://en.wikipedia.org/wiki/Dhamek_Stupa
Mausoleum of the First Qin Emperor,https://en.wikipedia.org/wiki/Mausoleum_of_the_First_Qin_Emperor
Ruwanwelisaya,https://en.wikipedia.org/wiki/Ruwanwelisaya
Broch of Mousa,https://en.wikipedia.org/wiki/Broch_of_Mousa
Dun Carloway,https://en.wikipedia.org/wiki/Dun_Carloway
Maison Carrée,https://en.wikipedia.org/wiki/Maison_Carr%C3%A9e
Lei Cheng Uk Han Tomb Museum,https://en.wikipedia.org/wiki/Lei_Cheng_Uk_Han_Tomb_Museum
Temple of Garni,https://en.wikipedia.org/wiki/Temple_of_Garni
Colosseum,https://en.wikipedia.org/wiki/Colosseum
Taj Mahal,https://en.wikipedia.org/wiki/Taj_Mahal
Statue of Liberty,https://en.wikipedia.org/wiki/Statue_of_Liberty
Burj Khalifa,https://en.wikipedia.org/wiki/Burj_Khalifa
Great Wall of China,https://en.wikipedia.org/wiki/Great_Wall_of_China
Eiffel Tower,https://en.wikipedia.org/wiki/Eiffel_Tower
Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall
Machu Picchu,https://en.wikipedia.org/wiki/Machu_Picchu
Stonehenge,https://en.wikipedia.org/wiki/Stonehenge
Mount Rushmore National Memorial,https://en.wikipedia.org/wiki/Mount_Rushmore_National_Memorial
One World Trade Center,https://en.wikipedia.org/wiki/One_World_Trade_Center
Empire State Building,https://en.wikipedia.org/wiki/Empire_State_Building
White House,https://en.wikipedia.org/wiki/White_House
Petra,https://en.wikipedia.org/wiki/Petra
Large Hadron Collider,https://en.wikipedia.org/wiki/Large_Hadron_Collider
Hagia Sophia,https://en.wikipedia.org/wiki/Hagia_Sophia
Golden Gate Bridge,https://en.wikipedia.org/wiki/Golden_Gate_Bridge
Panama Canal,https://en.wikipedia.org/wiki/Panama_Canal
Angkor Wat,https://en.wikipedia.org/wiki/Angkor_Wat
Buckingham Palace,https://en.wikipedia.org/wiki/Buckingham_Palace
Big Ben,https://en.wikipedia.org/wiki/Big_Ben
Guantanamo Bay detention camp,https://en.wikipedia.org/wiki/Guantanamo_Bay_detention_camp
Christ the Redeemer (statue),https://en.wikipedia.org/wiki/Christ_the_Redeemer_(statue)
"Pantheon, Rome","https://en.wikipedia.org/wiki/Pantheon,_Rome"
Disneyland,https://en.wikipedia.org/wiki/Disneyland
Colossus of Rhodes,https://en.wikipedia.org/wiki/Colossus_of_Rhodes
New York Stock Exchange,https://en.wikipedia.org/wiki/New_York_Stock_Exchange
Wembley Stadium,https://en.wikipedia.org/wiki/Wembley_Stadium
Channel Tunnel,https://en.wikipedia.org/wiki/Channel_Tunnel
Notre-Dame de Paris,https://en.wikipedia.org/wiki/Notre-Dame_de_Paris
ADX Florence,https://en.wikipedia.org/wiki/ADX_Florence
Forbidden City,https://en.wikipedia.org/wiki/Forbidden_City
Willis Tower,https://en.wikipedia.org/wiki/Willis_Tower
Westminster Abbey,https://en.wikipedia.org/wiki/Westminster_Abbey
Windsor Castle,https://en.wikipedia.org/wiki/Windsor_Castle
Taipei 101,https://en.wikipedia.org/wiki/Taipei_101
Walt Disney World,https://en.wikipedia.org/wiki/Walt_Disney_World
Timbuktu,https://en.wikipedia.org/wiki/Timbuktu
Arc de Triomphe,https://en.wikipedia.org/wiki/Arc_de_Triomphe
Lighthouse of Alexandria,https://en.wikipedia.org/wiki/Lighthouse_of_Alexandria
John F. Kennedy International Airport,https://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport
Temple of Artemis,https://en.wikipedia.org/wiki/Temple_of_Artemis
Brooklyn Bridge,https://en.wikipedia.org/wiki/Brooklyn_Bridge
Code of Hammurabi,https://en.wikipedia.org/wiki/Code_of_Hammurabi
Statue of Unity,https://en.wikipedia.org/wiki/Statue_of_Unity
Statue of Zeus at Olympia,https://en.wikipedia.org/wiki/Statue_of_Zeus_at_Olympia
Library of Alexandria,https://en.wikipedia.org/wiki/Library_of_Alexandria
Acropolis of Athens,https://en.wikipedia.org/wiki/Acropolis_of_Athens
Dome of the Rock,https://en.wikipedia.org/wiki/Dome_of_the_Rock
Wall Street,https://en.wikipedia.org/wiki/Wall_Street
Great Sphinx of Giza,https://en.wikipedia.org/wiki/Great_Sphinx_of_Giza
Leaning Tower of Pisa,https://en.wikipedia.org/wiki/Leaning_Tower_of_Pisa
7 World Trade Center,https://en.wikipedia.org/wiki/7_World_Trade_Center
Palace of Versailles,https://en.wikipedia.org/wiki/Palace_of_Versailles
Church of the Holy Sepulchre,https://en.wikipedia.org/wiki/Church_of_the_Holy_Sepulchre
Moai,https://en.wikipedia.org/wiki/Moai
Epcot,https://en.wikipedia.org/wiki/Epcot
Antilia (building),https://en.wikipedia.org/wiki/Antilia_(building)
Suez Canal,https://en.wikipedia.org/wiki/Suez_Canal
Georgia Guidestones,https://en.wikipedia.org/wiki/Georgia_Guidestones
Petronas Towers,https://en.wikipedia.org/wiki/Petronas_Towers
David (Michelangelo),https://en.wikipedia.org/wiki/David_(Michelangelo)
Delhi Metro,https://en.wikipedia.org/wiki/Delhi_Metro
British Museum,https://en.wikipedia.org/wiki/British_Museum
Brandenburg Gate,https://en.wikipedia.org/wiki/Brandenburg_Gate
Al-Aqsa Mosque,https://en.wikipedia.org/wiki/Al-Aqsa_Mosque
Chichen Itza,https://en.wikipedia.org/wiki/Chichen_Itza
Washington Monument,https://en.wikipedia.org/wiki/Washington_Monument
Erie Canal,https://en.wikipedia.org/wiki/Erie_Canal
Tower of London,https://en.wikipedia.org/wiki/Tower_of_London
Göbekli Tepe,https://en.wikipedia.org/wiki/G%C3%B6bekli_Tepe
Alcatraz Federal Penitentiary,https://en.wikipedia.org/wiki/Alcatraz_Federal_Penitentiary
