title,link
Nomadland (film),https://en.wikipedia.org/wiki/Nomadland_(film)
The Father (2020 film),https://en.wikipedia.org/wiki/The_Father_(2020_film)
Judas and the Black Messiah,https://en.wikipedia.org/wiki/Judas_and_the_Black_Messiah
Minari (film),https://en.wikipedia.org/wiki/Minari_(film)
Mank,https://en.wikipedia.org/wiki/Mank
Sound of Metal,https://en.wikipedia.org/wiki/Sound_of_Metal
Ma Rainey's Black Bottom (film),https://en.wikipedia.org/wiki/Ma_Rainey%27s_Black_Bottom_(film)
Promising Young Woman,https://en.wikipedia.org/wiki/Promising_Young_Woman
Tenet (film),https://en.wikipedia.org/wiki/Tenet_(film)
Soul (2020 film),https://en.wikipedia.org/wiki/Soul_(2020_film)
Another Round (film),https://en.wikipedia.org/wiki/Another_Round_(film)
My Octopus Teacher,https://en.wikipedia.org/wiki/My_Octopus_Teacher
Colette (2020 film),https://en.wikipedia.org/wiki/Colette_(2020_film)
If Anything Happens I Love You,https://en.wikipedia.org/wiki/If_Anything_Happens_I_Love_You
Two Distant Strangers,https://en.wikipedia.org/wiki/Two_Distant_Strangers
Parasite (2019 film),https://en.wikipedia.org/wiki/Parasite_(2019_film)
Ford v Ferrari,https://en.wikipedia.org/wiki/Ford_v_Ferrari
Learning to Skateboard in a Warzone (If You're a Girl),https://en.wikipedia.org/wiki/Learning_to_Skateboard_in_a_Warzone_(If_You%27re_a_Girl)
The Neighbors' Window,https://en.wikipedia.org/wiki/The_Neighbors%27_Window
Little Women (2019 film),https://en.wikipedia.org/wiki/Little_Women_(2019_film)
Marriage Story,https://en.wikipedia.org/wiki/Marriage_Story
Jojo Rabbit,https://en.wikipedia.org/wiki/Jojo_Rabbit
Toy Story 4,https://en.wikipedia.org/wiki/Toy_Story_4
Joker (2019 film),https://en.wikipedia.org/wiki/Joker_(2019_film)
Once Upon a Time in Hollywood,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Hollywood
1917 (2019 film),https://en.wikipedia.org/wiki/1917_(2019_film)
Judy (film),https://en.wikipedia.org/wiki/Judy_(film)
Bombshell (2019 film),https://en.wikipedia.org/wiki/Bombshell_(2019_film)
Rocketman (film),https://en.wikipedia.org/wiki/Rocketman_(film)
American Factory,https://en.wikipedia.org/wiki/American_Factory
Hair Love,https://en.wikipedia.org/wiki/Hair_Love
Green Book (film),https://en.wikipedia.org/wiki/Green_Book_(film)
Bohemian Rhapsody (film),https://en.wikipedia.org/wiki/Bohemian_Rhapsody_(film)
Roma (2018 film),https://en.wikipedia.org/wiki/Roma_(2018_film)
Black Panther (film),https://en.wikipedia.org/wiki/Black_Panther_(film)
The Favourite,https://en.wikipedia.org/wiki/The_Favourite
A Star Is Born (2018 film),https://en.wikipedia.org/wiki/A_Star_Is_Born_(2018_film)
Vice (2018 film),https://en.wikipedia.org/wiki/Vice_(2018_film)
BlacKkKlansman,https://en.wikipedia.org/wiki/BlacKkKlansman
First Man (film),https://en.wikipedia.org/wiki/First_Man_(film)
If Beale Street Could Talk (film),https://en.wikipedia.org/wiki/If_Beale_Street_Could_Talk_(film)
Bao (film),https://en.wikipedia.org/wiki/Bao_(film)
Free Solo,https://en.wikipedia.org/wiki/Free_Solo
Period. End of Sentence.,https://en.wikipedia.org/wiki/Period._End_of_Sentence.
Skin (2018 short film),https://en.wikipedia.org/wiki/Skin_(2018_short_film)
Spider-Man: Into the Spider-Verse,https://en.wikipedia.org/wiki/Spider-Man:_Into_the_Spider-Verse
The Shape of Water,https://en.wikipedia.org/wiki/The_Shape_of_Water
Dunkirk (2017 film),https://en.wikipedia.org/wiki/Dunkirk_(2017_film)
"Three Billboards Outside Ebbing, Missouri","https://en.wikipedia.org/wiki/Three_Billboards_Outside_Ebbing,_Missouri"
Darkest Hour (film),https://en.wikipedia.org/wiki/Darkest_Hour_(film)
Blade Runner 2049,https://en.wikipedia.org/wiki/Blade_Runner_2049
Coco (2017 film),https://en.wikipedia.org/wiki/Coco_(2017_film)
Phantom Thread,https://en.wikipedia.org/wiki/Phantom_Thread
Call Me by Your Name (film),https://en.wikipedia.org/wiki/Call_Me_by_Your_Name_(film)
Get Out,https://en.wikipedia.org/wiki/Get_Out
"I, Tonya","https://en.wikipedia.org/wiki/I,_Tonya"
Dear Basketball,https://en.wikipedia.org/wiki/Dear_Basketball
A Fantastic Woman,https://en.wikipedia.org/wiki/A_Fantastic_Woman
Heaven Is a Traffic Jam on the 405,https://en.wikipedia.org/wiki/Heaven_Is_a_Traffic_Jam_on_the_405
Icarus (2017 film),https://en.wikipedia.org/wiki/Icarus_(2017_film)
The Silent Child,https://en.wikipedia.org/wiki/The_Silent_Child
Flesh and Sand,https://en.wikipedia.org/wiki/Flesh_and_Sand
Moonlight (2016 film),https://en.wikipedia.org/wiki/Moonlight_(2016_film)
La La Land (film),https://en.wikipedia.org/wiki/La_La_Land_(film)
Hacksaw Ridge,https://en.wikipedia.org/wiki/Hacksaw_Ridge
Manchester by the Sea (film),https://en.wikipedia.org/wiki/Manchester_by_the_Sea_(film)
Arrival (film),https://en.wikipedia.org/wiki/Arrival_(film)
Fences (film),https://en.wikipedia.org/wiki/Fences_(film)
Fantastic Beasts and Where to Find Them (film),https://en.wikipedia.org/wiki/Fantastic_Beasts_and_Where_to_Find_Them_(film)
The Jungle Book (2016 film),https://en.wikipedia.org/wiki/The_Jungle_Book_(2016_film)
O.J.: Made in America,https://en.wikipedia.org/wiki/O.J.:_Made_in_America
Piper (film),https://en.wikipedia.org/wiki/Piper_(film)
The Salesman (2016 film),https://en.wikipedia.org/wiki/The_Salesman_(2016_film)
Sing (2016 Hungarian film),https://en.wikipedia.org/wiki/Sing_(2016_Hungarian_film)
Suicide Squad (film),https://en.wikipedia.org/wiki/Suicide_Squad_(film)
The White Helmets (film),https://en.wikipedia.org/wiki/The_White_Helmets_(film)
