title,link
6ix9ine,https://en.wikipedia.org/wiki/6ix9ine
Aaliyah,https://en.wikipedia.org/wiki/Aaliyah
ABBA,https://en.wikipedia.org/wiki/ABBA
Paula Abdul,https://en.wikipedia.org/wiki/Paula_Abdul
Ace of Base,https://en.wikipedia.org/wiki/Ace_of_Base
Bryan Adams,https://en.wikipedia.org/wiki/Bryan_Adams
Adele,https://en.wikipedia.org/wiki/Adele
Aerosmith,https://en.wikipedia.org/wiki/Aerosmith
Afrojack,https://en.wikipedia.org/wiki/Afrojack
Christina Aguilera,https://en.wikipedia.org/wiki/Christina_Aguilera
A-ha,https://en.wikipedia.org/wiki/A-ha
Clay Aiken,https://en.wikipedia.org/wiki/Clay_Aiken
Air Supply,https://en.wikipedia.org/wiki/Air_Supply
Akon,https://en.wikipedia.org/wiki/Akon
Ali (American rapper),https://en.wikipedia.org/wiki/Ali_(American_rapper)
All-4-One,https://en.wikipedia.org/wiki/All-4-One
Herb Alpert,https://en.wikipedia.org/wiki/Herb_Alpert
America (band),https://en.wikipedia.org/wiki/America_(band)
The Animals,https://en.wikipedia.org/wiki/The_Animals
Paul Anka,https://en.wikipedia.org/wiki/Paul_Anka
The Archies,https://en.wikipedia.org/wiki/The_Archies
Louis Armstrong,https://en.wikipedia.org/wiki/Louis_Armstrong
Ashanti (entertainer),https://en.wikipedia.org/wiki/Ashanti_(entertainer)
The Association,https://en.wikipedia.org/wiki/The_Association
Rick Astley,https://en.wikipedia.org/wiki/Rick_Astley
Patti Austin,https://en.wikipedia.org/wiki/Patti_Austin
Frankie Avalon,https://en.wikipedia.org/wiki/Frankie_Avalon
Average White Band,https://en.wikipedia.org/wiki/Average_White_Band
Iggy Azalea,https://en.wikipedia.org/wiki/Iggy_Azalea
Baauer,https://en.wikipedia.org/wiki/Baauer
Bachman-Turner Overdrive,https://en.wikipedia.org/wiki/Bachman-Turner_Overdrive
Bad Bunny,https://en.wikipedia.org/wiki/Bad_Bunny
Bad English,https://en.wikipedia.org/wiki/Bad_English
J Balvin,https://en.wikipedia.org/wiki/J_Balvin
Bananarama,https://en.wikipedia.org/wiki/Bananarama
The Bangles,https://en.wikipedia.org/wiki/The_Bangles
Barenaked Ladies,https://en.wikipedia.org/wiki/Barenaked_Ladies
Toni Basil,https://en.wikipedia.org/wiki/Toni_Basil
Les Baxter,https://en.wikipedia.org/wiki/Les_Baxter
Bay City Rollers,https://en.wikipedia.org/wiki/Bay_City_Rollers
The Beach Boys,https://en.wikipedia.org/wiki/The_Beach_Boys
The Beatles,https://en.wikipedia.org/wiki/The_Beatles
Bee Gees,https://en.wikipedia.org/wiki/Bee_Gees
The Bellamy Brothers,https://en.wikipedia.org/wiki/The_Bellamy_Brothers
Regina Belle,https://en.wikipedia.org/wiki/Regina_Belle
Lauren Bennett,https://en.wikipedia.org/wiki/Lauren_Bennett
Berlin (band),https://en.wikipedia.org/wiki/Berlin_(band)
Chuck Berry,https://en.wikipedia.org/wiki/Chuck_Berry
Beyoncé,https://en.wikipedia.org/wiki/Beyonc%C3%A9
Justin Bieber,https://en.wikipedia.org/wiki/Justin_Bieber
Acker Bilk,https://en.wikipedia.org/wiki/Acker_Bilk
The Black Eyed Peas,https://en.wikipedia.org/wiki/The_Black_Eyed_Peas
BLACKstreet,https://en.wikipedia.org/wiki/BLACKstreet
Mary J. Blige,https://en.wikipedia.org/wiki/Mary_J._Blige
Blondie (band),https://en.wikipedia.org/wiki/Blondie_(band)
James Blunt,https://en.wikipedia.org/wiki/James_Blunt
B.o.B.,https://en.wikipedia.org/wiki/B.o.B.
Michael Bolton,https://en.wikipedia.org/wiki/Michael_Bolton
Bon Jovi,https://en.wikipedia.org/wiki/Bon_Jovi
Jon Bon Jovi,https://en.wikipedia.org/wiki/Jon_Bon_Jovi
Gary U.S. Bonds,https://en.wikipedia.org/wiki/Gary_U.S._Bonds
Krayzie Bone,https://en.wikipedia.org/wiki/Krayzie_Bone
Bone Thugs-N-Harmony,https://en.wikipedia.org/wiki/Bone_Thugs-N-Harmony
Debby Boone,https://en.wikipedia.org/wiki/Debby_Boone
Pat Boone,https://en.wikipedia.org/wiki/Pat_Boone
Boston (band),https://en.wikipedia.org/wiki/Boston_(band)
David Bowie,https://en.wikipedia.org/wiki/David_Bowie
Box Tops,https://en.wikipedia.org/wiki/Box_Tops
Boyz II Men,https://en.wikipedia.org/wiki/Boyz_II_Men
Brandy (entertainer),https://en.wikipedia.org/wiki/Brandy_(entertainer)
Toni Braxton,https://en.wikipedia.org/wiki/Toni_Braxton
Bread (band),https://en.wikipedia.org/wiki/Bread_(band)
Bobby Brown,https://en.wikipedia.org/wiki/Bobby_Brown
Chris Brown,https://en.wikipedia.org/wiki/Chris_Brown
Peabo Bryson,https://en.wikipedia.org/wiki/Peabo_Bryson
B2K,https://en.wikipedia.org/wiki/B2K
BTS,https://en.wikipedia.org/wiki/BTS
The Byrds,https://en.wikipedia.org/wiki/The_Byrds
C+C Music Factory,https://en.wikipedia.org/wiki/C%2BC_Music_Factory
Camila Cabello,https://en.wikipedia.org/wiki/Camila_Cabello
Daniel Caesar,https://en.wikipedia.org/wiki/Daniel_Caesar
Glen Campbell,https://en.wikipedia.org/wiki/Glen_Campbell
Lewis Capaldi,https://en.wikipedia.org/wiki/Lewis_Capaldi
Captain & Tennille,https://en.wikipedia.org/wiki/Captain_%26_Tennille
Irene Cara,https://en.wikipedia.org/wiki/Irene_Cara
Cardi B,https://en.wikipedia.org/wiki/Cardi_B
