title,link
Wilhelm Röntgen,https://en.wikipedia.org/wiki/Wilhelm_R%C3%B6ntgen
Jacobus Henricus van 't Hoff,https://en.wikipedia.org/wiki/Jacobus_Henricus_van_%27t_Hoff
Emil Adolf von Behring,https://en.wikipedia.org/wiki/Emil_Adolf_von_Behring
Sully Prudhomme,https://en.wikipedia.org/wiki/Sully_Prudhomme
Henry Dunant,https://en.wikipedia.org/wiki/Henry_Dunant
Frédéric Passy,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Passy
Hendrik Lorentz,https://en.wikipedia.org/wiki/Hendrik_Lorentz
Pieter Zeeman,https://en.wikipedia.org/wiki/Pieter_Zeeman
Hermann Emil Fischer,https://en.wikipedia.org/wiki/Hermann_Emil_Fischer
Ronald Ross,https://en.wikipedia.org/wiki/Ronald_Ross
Theodor Mommsen,https://en.wikipedia.org/wiki/Theodor_Mommsen
Élie Ducommun,https://en.wikipedia.org/wiki/%C3%89lie_Ducommun
Charles Albert Gobat,https://en.wikipedia.org/wiki/Charles_Albert_Gobat
Henri Becquerel,https://en.wikipedia.org/wiki/Henri_Becquerel
Pierre Curie,https://en.wikipedia.org/wiki/Pierre_Curie
Marie Curie,https://en.wikipedia.org/wiki/Marie_Curie
Svante Arrhenius,https://en.wikipedia.org/wiki/Svante_Arrhenius
Niels Ryberg Finsen,https://en.wikipedia.org/wiki/Niels_Ryberg_Finsen
Bjørnstjerne Bjørnson,https://en.wikipedia.org/wiki/Bj%C3%B8rnstjerne_Bj%C3%B8rnson
Randal Cremer,https://en.wikipedia.org/wiki/Randal_Cremer
"John Strutt, 3rd Baron Rayleigh","https://en.wikipedia.org/wiki/John_Strutt,_3rd_Baron_Rayleigh"
William Ramsay,https://en.wikipedia.org/wiki/William_Ramsay
Ivan Pavlov,https://en.wikipedia.org/wiki/Ivan_Pavlov
Frédéric Mistral,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Mistral
José Echegaray,https://en.wikipedia.org/wiki/Jos%C3%A9_Echegaray
Institut de Droit International,https://en.wikipedia.org/wiki/Institut_de_Droit_International
Philipp Lenard,https://en.wikipedia.org/wiki/Philipp_Lenard
Adolf von Baeyer,https://en.wikipedia.org/wiki/Adolf_von_Baeyer
Robert Koch,https://en.wikipedia.org/wiki/Robert_Koch
Henryk Sienkiewicz,https://en.wikipedia.org/wiki/Henryk_Sienkiewicz
Bertha von Suttner,https://en.wikipedia.org/wiki/Bertha_von_Suttner
J. J. Thomson,https://en.wikipedia.org/wiki/J._J._Thomson
Henri Moissan,https://en.wikipedia.org/wiki/Henri_Moissan
Camillo Golgi,https://en.wikipedia.org/wiki/Camillo_Golgi
Santiago Ramón y Cajal,https://en.wikipedia.org/wiki/Santiago_Ram%C3%B3n_y_Cajal
Giosuè Carducci,https://en.wikipedia.org/wiki/Giosu%C3%A8_Carducci
Theodore Roosevelt,https://en.wikipedia.org/wiki/Theodore_Roosevelt
Albert Abraham Michelson,https://en.wikipedia.org/wiki/Albert_Abraham_Michelson
Eduard Buchner,https://en.wikipedia.org/wiki/Eduard_Buchner
Charles Louis Alphonse Laveran,https://en.wikipedia.org/wiki/Charles_Louis_Alphonse_Laveran
Rudyard Kipling,https://en.wikipedia.org/wiki/Rudyard_Kipling
Ernesto Teodoro Moneta,https://en.wikipedia.org/wiki/Ernesto_Teodoro_Moneta
Louis Renault (jurist),https://en.wikipedia.org/wiki/Louis_Renault_(jurist)
Gabriel Lippmann,https://en.wikipedia.org/wiki/Gabriel_Lippmann
Ernest Rutherford,https://en.wikipedia.org/wiki/Ernest_Rutherford
Élie Metchnikoff,https://en.wikipedia.org/wiki/%C3%89lie_Metchnikoff
Paul Ehrlich,https://en.wikipedia.org/wiki/Paul_Ehrlich
Rudolf Christoph Eucken,https://en.wikipedia.org/wiki/Rudolf_Christoph_Eucken
Klas Pontus Arnoldson,https://en.wikipedia.org/wiki/Klas_Pontus_Arnoldson
Fredrik Bajer,https://en.wikipedia.org/wiki/Fredrik_Bajer
Karl Ferdinand Braun,https://en.wikipedia.org/wiki/Karl_Ferdinand_Braun
Guglielmo Marconi,https://en.wikipedia.org/wiki/Guglielmo_Marconi
Wilhelm Ostwald,https://en.wikipedia.org/wiki/Wilhelm_Ostwald
Emil Theodor Kocher,https://en.wikipedia.org/wiki/Emil_Theodor_Kocher
Selma Lagerlöf,https://en.wikipedia.org/wiki/Selma_Lagerl%C3%B6f
Auguste Marie François Beernaert,https://en.wikipedia.org/wiki/Auguste_Marie_Fran%C3%A7ois_Beernaert
Paul-Henri-Benjamin d'Estournelles de Constant,https://en.wikipedia.org/wiki/Paul-Henri-Benjamin_d%27Estournelles_de_Constant
Johannes Diderik van der Waals,https://en.wikipedia.org/wiki/Johannes_Diderik_van_der_Waals
Otto Wallach,https://en.wikipedia.org/wiki/Otto_Wallach
Albrecht Kossel,https://en.wikipedia.org/wiki/Albrecht_Kossel
Paul Heyse,https://en.wikipedia.org/wiki/Paul_Heyse
International Peace Bureau,https://en.wikipedia.org/wiki/International_Peace_Bureau
Wilhelm Wien,https://en.wikipedia.org/wiki/Wilhelm_Wien
Marie Skłodowska-Curie,https://en.wikipedia.org/wiki/Marie_Sk%C5%82odowska-Curie
Allvar Gullstrand,https://en.wikipedia.org/wiki/Allvar_Gullstrand
Maurice Maeterlinck,https://en.wikipedia.org/wiki/Maurice_Maeterlinck
Tobias Asser,https://en.wikipedia.org/wiki/Tobias_Asser
Alfred Hermann Fried,https://en.wikipedia.org/wiki/Alfred_Hermann_Fried
Gustaf Dalén,https://en.wikipedia.org/wiki/Gustaf_Dal%C3%A9n
Victor Grignard,https://en.wikipedia.org/wiki/Victor_Grignard
Paul Sabatier (chemist),https://en.wikipedia.org/wiki/Paul_Sabatier_(chemist)
Alexis Carrel,https://en.wikipedia.org/wiki/Alexis_Carrel
Gerhart Hauptmann,https://en.wikipedia.org/wiki/Gerhart_Hauptmann
Elihu Root,https://en.wikipedia.org/wiki/Elihu_Root
Heike Kamerlingh Onnes,https://en.wikipedia.org/wiki/Heike_Kamerlingh_Onnes
Alfred Werner,https://en.wikipedia.org/wiki/Alfred_Werner
Charles Richet,https://en.wikipedia.org/wiki/Charles_Richet
Rabindranath Tagore,https://en.wikipedia.org/wiki/Rabindranath_Tagore
Henri La Fontaine,https://en.wikipedia.org/wiki/Henri_La_Fontaine
Max von Laue,https://en.wikipedia.org/wiki/Max_von_Laue
Theodore William Richards,https://en.wikipedia.org/wiki/Theodore_William_Richards
Robert Bárány,https://en.wikipedia.org/wiki/Robert_B%C3%A1r%C3%A1ny
William Henry Bragg,https://en.wikipedia.org/wiki/William_Henry_Bragg
William Lawrence Bragg,https://en.wikipedia.org/wiki/William_Lawrence_Bragg
Richard Willstätter,https://en.wikipedia.org/wiki/Richard_Willst%C3%A4tter
Romain Rolland,https://en.wikipedia.org/wiki/Romain_Rolland
Verner von Heidenstam,https://en.wikipedia.org/wiki/Verner_von_Heidenstam
Charles Glover Barkla,https://en.wikipedia.org/wiki/Charles_Glover_Barkla
Karl Adolph Gjellerup,https://en.wikipedia.org/wiki/Karl_Adolph_Gjellerup
Henrik Pontoppidan,https://en.wikipedia.org/wiki/Henrik_Pontoppidan
International Committee of the Red Cross,https://en.wikipedia.org/wiki/International_Committee_of_the_Red_Cross
