title,link,en,de,fr,es,nl,ko,ceb,ar,sv,ru,hi,tr,zh,af
The Red Cape,https://en.wikipedia.org/wiki/The_Red_Cape,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Claude Monet,https://en.wikipedia.org/wiki/Claude_Monet,1,0,1,1,1,1,1,1,1,1,0,1,1,1
The Burning of the Houses of Lords and Commons,https://en.wikipedia.org/wiki/The_Burning_of_the_Houses_of_Lords_and_Commons,0,0,1,1,1,1,1,1,1,1,0,1,1,1
J. M. W. Turner,https://en.wikipedia.org/wiki/J._M._W._Turner,1,0,1,1,1,1,1,1,1,1,0,1,0,1
Portrait of Adeline Ravoux,https://en.wikipedia.org/wiki/Portrait_of_Adeline_Ravoux,1,0,1,1,1,1,1,1,1,1,0,1,0,1
Vincent van Gogh,https://en.wikipedia.org/wiki/Vincent_van_Gogh,1,0,1,1,1,1,1,1,1,1,1,1,1,1
The Large Plane Trees,https://en.wikipedia.org/wiki/The_Large_Plane_Trees,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"Annunciation (van Eyck, Washington)","https://en.wikipedia.org/wiki/Annunciation_(van_Eyck,_Washington)",0,0,0,1,0,1,1,1,1,1,1,1,1,1
Jan van Eyck,https://en.wikipedia.org/wiki/Jan_van_Eyck,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Laocoön (El Greco),https://en.wikipedia.org/wiki/Laoco%C3%B6n_(El_Greco),1,0,1,1,1,1,1,1,1,1,0,1,1,1
El Greco,https://en.wikipedia.org/wiki/El_Greco,1,0,1,1,1,1,1,1,0,1,0,1,1,0
Landscape with the Good Samaritan,https://en.wikipedia.org/wiki/Landscape_with_the_Good_Samaritan,1,0,1,1,1,1,1,1,0,1,0,1,1,0
Rembrandt,https://en.wikipedia.org/wiki/Rembrandt,1,0,1,1,1,1,1,1,1,1,1,1,1,1
The Inquisition Tribunal,https://en.wikipedia.org/wiki/The_Inquisition_Tribunal,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Francisco Goya,https://en.wikipedia.org/wiki/Francisco_Goya,1,0,1,0,1,1,1,1,1,1,0,1,1,1
The Maiden (Klimt),https://en.wikipedia.org/wiki/The_Maiden_(Klimt),1,0,1,1,1,1,1,1,1,1,0,1,1,1
