title,link,en,de,fr,es,ceb,nl,ko,ar,ru,sv,hi,tr,zh,af
Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Barack Obama,https://en.wikipedia.org/wiki/Barack_Obama,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Elizabeth II,https://en.wikipedia.org/wiki/Elizabeth_II,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Michael Jackson,https://en.wikipedia.org/wiki/Michael_Jackson,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Lady Gaga,https://en.wikipedia.org/wiki/Lady_Gaga,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Eminem,https://en.wikipedia.org/wiki/Eminem,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Adolf Hitler,https://en.wikipedia.org/wiki/Adolf_Hitler,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Cristiano Ronaldo,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Justin Bieber,https://en.wikipedia.org/wiki/Justin_Bieber,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Freddie Mercury,https://en.wikipedia.org/wiki/Freddie_Mercury,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Steve Jobs,https://en.wikipedia.org/wiki/Steve_Jobs,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Kim Kardashian,https://en.wikipedia.org/wiki/Kim_Kardashian,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Michael Jordan,https://en.wikipedia.org/wiki/Michael_Jordan,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Stephen Hawking,https://en.wikipedia.org/wiki/Stephen_Hawking,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Dwayne Johnson,https://en.wikipedia.org/wiki/Dwayne_Johnson,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk,1,0,1,1,1,1,1,1,1,1,1,1,1,1
