title,link,en,de,fr,es,nl,ko,ceb,ar,sv,ru,hi,tr,zh,af
Sun,https://en.wikipedia.org/wiki/Sun,1,0,1,0,1,1,0,1,1,1,1,1,1,1
Kepler-90,https://en.wikipedia.org/wiki/Kepler-90,1,0,1,1,1,1,0,1,1,1,1,1,1,1
TRAPPIST-1,https://en.wikipedia.org/wiki/TRAPPIST-1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Kepler-11,https://en.wikipedia.org/wiki/Kepler-11,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Kepler-20,https://en.wikipedia.org/wiki/Kepler-20,1,0,1,0,1,1,0,1,1,1,0,1,1,1
HD 10180,https://en.wikipedia.org/wiki/HD_10180,1,0,1,1,1,1,0,1,1,1,0,1,1,1
HD 34445,https://en.wikipedia.org/wiki/HD_34445,1,0,1,1,1,1,0,1,1,1,0,1,1,1
HD 40307,https://en.wikipedia.org/wiki/HD_40307,1,0,1,1,1,1,0,1,1,1,0,1,1,1
HR 8832,https://en.wikipedia.org/wiki/HR_8832,1,0,1,1,1,0,0,1,1,1,0,1,1,1
K2-138,https://en.wikipedia.org/wiki/K2-138,1,0,1,1,1,0,0,1,1,1,0,1,1,1
TOI-178,https://en.wikipedia.org/wiki/TOI-178,1,0,1,0,1,0,0,1,1,1,0,1,1,1
55 Cancri,https://en.wikipedia.org/wiki/55_Cancri,1,0,1,1,1,1,0,1,1,1,1,1,1,1
HIP 41378,https://en.wikipedia.org/wiki/HIP_41378,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Kepler-33,https://en.wikipedia.org/wiki/Kepler-33,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Kepler-62,https://en.wikipedia.org/wiki/Kepler-62,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Kepler-80,https://en.wikipedia.org/wiki/Kepler-80,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Kepler-84,https://en.wikipedia.org/wiki/Kepler-84,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Kepler-102,https://en.wikipedia.org/wiki/Kepler-102,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Kepler-186,https://en.wikipedia.org/wiki/Kepler-186,1,0,1,1,1,1,0,1,0,1,1,1,1,1
Kepler-296,https://en.wikipedia.org/wiki/Kepler-296,1,0,1,1,1,1,0,1,0,1,1,1,1,1
Kepler-444,https://en.wikipedia.org/wiki/Kepler-444,1,0,1,1,1,1,0,1,1,1,1,1,1,1
HD 108236,https://en.wikipedia.org/wiki/HD_108236,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Gliese 163,https://en.wikipedia.org/wiki/Gliese_163,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Gliese 676,https://en.wikipedia.org/wiki/Gliese_676,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Gliese 876,https://en.wikipedia.org/wiki/Gliese_876,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Gliese 3293,https://en.wikipedia.org/wiki/Gliese_3293,1,0,1,1,1,1,0,1,1,1,1,1,1,1
HD 141399,https://en.wikipedia.org/wiki/HD_141399,1,0,1,1,1,1,0,1,1,1,1,1,1,1
HD 164922,https://en.wikipedia.org/wiki/HD_164922,1,0,1,0,1,1,0,1,1,1,1,1,1,1
HD 215152,https://en.wikipedia.org/wiki/HD_215152,1,0,1,0,1,1,0,1,1,1,1,1,1,1
HR 8799,https://en.wikipedia.org/wiki/HR_8799,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Tau Ceti,https://en.wikipedia.org/wiki/Tau_Ceti,1,0,1,1,1,1,0,1,1,1,1,1,1,1
K2-32,https://en.wikipedia.org/wiki/K2-32,1,0,1,1,1,1,0,1,1,1,1,1,1,1
K2-187,https://en.wikipedia.org/wiki/K2-187,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Kepler-24,https://en.wikipedia.org/wiki/Kepler-24,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Kepler-37,https://en.wikipedia.org/wiki/Kepler-37,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Kepler-89,https://en.wikipedia.org/wiki/Kepler-89,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Kepler-65,https://en.wikipedia.org/wiki/Kepler-65,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Kepler-107,https://en.wikipedia.org/wiki/Kepler-107,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Kepler-223,https://en.wikipedia.org/wiki/Kepler-223,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Kepler-411,https://en.wikipedia.org/wiki/Kepler-411,1,0,1,1,1,1,0,1,1,1,1,1,1,1
TOI-561,https://en.wikipedia.org/wiki/TOI-561,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Mu Arae,https://en.wikipedia.org/wiki/Mu_Arae,1,0,1,1,1,0,0,1,1,1,1,1,1,1
V1298 Tauri,https://en.wikipedia.org/wiki/V1298_Tauri,1,0,1,1,1,0,0,1,1,1,1,1,1,1
Upsilon Andromedae,https://en.wikipedia.org/wiki/Upsilon_Andromedae,1,0,1,1,1,1,0,1,1,1,1,1,1,1
WASP-47,https://en.wikipedia.org/wiki/WASP-47,1,0,1,0,1,1,0,1,1,1,1,1,1,1
XO-2 (star),https://en.wikipedia.org/wiki/XO-2_(star),1,0,0,0,1,1,0,1,1,1,1,1,1,1
K2-72,https://en.wikipedia.org/wiki/K2-72,1,0,1,1,1,1,0,1,1,1,1,1,1,1
L 98-59,https://en.wikipedia.org/wiki/L_98-59,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Gliese 581,https://en.wikipedia.org/wiki/Gliese_581,1,0,1,1,1,1,0,0,1,1,1,1,1,1
