title,link
Shameless (UK TV series),https://en.wikipedia.org/wiki/Shameless_(UK_TV_series)
Skins (British TV series),https://en.wikipedia.org/wiki/Skins_(British_TV_series)
Some Girls,https://en.wikipedia.org/wiki/Some_Girls
Spaced,https://en.wikipedia.org/wiki/Spaced
The Thick of It,https://en.wikipedia.org/wiki/The_Thick_of_It
The Thin Blue Line (British TV series),https://en.wikipedia.org/wiki/The_Thin_Blue_Line_(British_TV_series)
The Vicar of Dibley,https://en.wikipedia.org/wiki/The_Vicar_of_Dibley
Vicious (TV series),https://en.wikipedia.org/wiki/Vicious_(TV_series)
Yes Minister,https://en.wikipedia.org/wiki/Yes_Minister
The Young Ones (TV series),https://en.wikipedia.org/wiki/The_Young_Ones_(TV_series)
10 Things I Hate About You (TV series),https://en.wikipedia.org/wiki/10_Things_I_Hate_About_You_(TV_series)
100 Things to Do Before High School,https://en.wikipedia.org/wiki/100_Things_to_Do_Before_High_School
1000 Ways to Die,https://en.wikipedia.org/wiki/1000_Ways_to_Die
2 Broke Girls,https://en.wikipedia.org/wiki/2_Broke_Girls
2 Stupid Dogs,https://en.wikipedia.org/wiki/2_Stupid_Dogs
30 Rock,https://en.wikipedia.org/wiki/30_Rock
3rd Rock from the Sun,https://en.wikipedia.org/wiki/3rd_Rock_from_the_Sun
8 Simple Rules,https://en.wikipedia.org/wiki/8_Simple_Rules
A.N.T. Farm,https://en.wikipedia.org/wiki/A.N.T._Farm
Aaahh!!! Real Monsters,https://en.wikipedia.org/wiki/Aaahh!!!_Real_Monsters
According to Jim,https://en.wikipedia.org/wiki/According_to_Jim
The Addams Family (1964 TV series),https://en.wikipedia.org/wiki/The_Addams_Family_(1964_TV_series)
Adventure Time,https://en.wikipedia.org/wiki/Adventure_Time
"The Adventures of Brisco County, Jr.","https://en.wikipedia.org/wiki/The_Adventures_of_Brisco_County,_Jr."
ALF (TV series),https://en.wikipedia.org/wiki/ALF_(TV_series)
Alias Smith and Jones,https://en.wikipedia.org/wiki/Alias_Smith_and_Jones
Alice (American TV series),https://en.wikipedia.org/wiki/Alice_(American_TV_series)
Aliens in America,https://en.wikipedia.org/wiki/Aliens_in_America
All Grown Up!,https://en.wikipedia.org/wiki/All_Grown_Up!
All Hail King Julien,https://en.wikipedia.org/wiki/All_Hail_King_Julien
All in the Family,https://en.wikipedia.org/wiki/All_in_the_Family
All That,https://en.wikipedia.org/wiki/All_That
The Amanda Show,https://en.wikipedia.org/wiki/The_Amanda_Show
The Amazing World of Gumball,https://en.wikipedia.org/wiki/The_Amazing_World_of_Gumball
America's Funniest Home Videos,https://en.wikipedia.org/wiki/America%27s_Funniest_Home_Videos
American Dad!,https://en.wikipedia.org/wiki/American_Dad!
American Housewife,https://en.wikipedia.org/wiki/American_Housewife
Amphibia (TV series),https://en.wikipedia.org/wiki/Amphibia_(TV_series)
The Andy Griffith Show,https://en.wikipedia.org/wiki/The_Andy_Griffith_Show
Anger Management (TV series),https://en.wikipedia.org/wiki/Anger_Management_(TV_series)
Angie Tribeca,https://en.wikipedia.org/wiki/Angie_Tribeca
