title,link
Great Spa Towns of Europe,https://en.wikipedia.org/wiki/Great_Spa_Towns_of_Europe
Baden bei Wien,https://en.wikipedia.org/wiki/Baden_bei_Wien
"Spa, Belgium","https://en.wikipedia.org/wiki/Spa,_Belgium"
Františkovy Lázně,https://en.wikipedia.org/wiki/Franti%C5%A1kovy_L%C3%A1zn%C4%9B
Karlovy Vary,https://en.wikipedia.org/wiki/Karlovy_Vary
Mariánské Lázně,https://en.wikipedia.org/wiki/Mari%C3%A1nsk%C3%A9_L%C3%A1zn%C4%9B
Vichy,https://en.wikipedia.org/wiki/Vichy
Bad Ems,https://en.wikipedia.org/wiki/Bad_Ems
Baden-Baden,https://en.wikipedia.org/wiki/Baden-Baden
Bad Kissingen,https://en.wikipedia.org/wiki/Bad_Kissingen
Montecatini Terme,https://en.wikipedia.org/wiki/Montecatini_Terme
"Bath, Somerset","https://en.wikipedia.org/wiki/Bath,_Somerset"
Danubian Limes,https://en.wikipedia.org/wiki/Danubian_Limes
Society of Humanitarianism,https://en.wikipedia.org/wiki/Society_of_Humanitarianism
Frederiksoord,https://en.wikipedia.org/wiki/Frederiksoord
Wilhelminaoord,https://en.wikipedia.org/wiki/Wilhelminaoord
"Wortel, Belgium","https://en.wikipedia.org/wiki/Wortel,_Belgium"
"Veenhuizen, Noordenveld","https://en.wikipedia.org/wiki/Veenhuizen,_Noordenveld"
Sítio Roberto Burle Marx,https://en.wikipedia.org/wiki/S%C3%ADtio_Roberto_Burle_Marx
Chinchorro culture,https://en.wikipedia.org/wiki/Chinchorro_culture
Quanzhou,https://en.wikipedia.org/wiki/Quanzhou
Cordouan Lighthouse,https://en.wikipedia.org/wiki/Cordouan_Lighthouse
Nice,https://en.wikipedia.org/wiki/Nice
Ivindo National Park,https://en.wikipedia.org/wiki/Ivindo_National_Park
Colchic Rainforests and Wetlands,https://en.wikipedia.org/wiki/Colchic_Rainforests_and_Wetlands
Darmstadt Artists' Colony,https://en.wikipedia.org/wiki/Darmstadt_Artists%27_Colony
ShUM-cities,https://en.wikipedia.org/wiki/ShUM-cities
Speyer,https://en.wikipedia.org/wiki/Speyer
"Worms, Germany","https://en.wikipedia.org/wiki/Worms,_Germany"
Mainz,https://en.wikipedia.org/wiki/Mainz
Lower Germanic Limes,https://en.wikipedia.org/wiki/Lower_Germanic_Limes
Dholavira,https://en.wikipedia.org/wiki/Dholavira
Ramappa Temple,https://en.wikipedia.org/wiki/Ramappa_Temple
Avroman,https://en.wikipedia.org/wiki/Avroman
Uramanat Villages,https://en.wikipedia.org/wiki/Uramanat_Villages
Trans-Iranian Railway,https://en.wikipedia.org/wiki/Trans-Iranian_Railway
Padua,https://en.wikipedia.org/wiki/Padua
Fresco,https://en.wikipedia.org/wiki/Fresco
Scrovegni Chapel,https://en.wikipedia.org/wiki/Scrovegni_Chapel
"Palazzo della Ragione, Padua","https://en.wikipedia.org/wiki/Palazzo_della_Ragione,_Padua"
Basilica of Saint Anthony of Padua,https://en.wikipedia.org/wiki/Basilica_of_Saint_Anthony_of_Padua
San Michele Oratory,https://en.wikipedia.org/wiki/San_Michele_Oratory
Porticoes of Bologna,https://en.wikipedia.org/wiki/Porticoes_of_Bologna
"Amami-Ōshima Island, Tokunoshima Island, northern part of Okinawa Island, and Iriomote Island","https://en.wikipedia.org/wiki/Amami-%C5%8Cshima_Island,_Tokunoshima_Island,_northern_part_of_Okinawa_Island,_and_Iriomote_Island"
Jōmon Prehistoric Sites in Northern Japan,https://en.wikipedia.org/wiki/J%C5%8Dmon_Prehistoric_Sites_in_Northern_Japan
Al-Salt,https://en.wikipedia.org/wiki/Al-Salt
Chanquillo,https://en.wikipedia.org/wiki/Chanquillo
Roșia Montană,https://en.wikipedia.org/wiki/Ro%C8%99ia_Montan%C4%83
Lake Onega,https://en.wikipedia.org/wiki/Lake_Onega#Onega_petroglyphs
Lake Onega,https://en.wikipedia.org/wiki/Lake_Onega
Bir Hima Rock Petroglyphs and Inscriptions,https://en.wikipedia.org/wiki/Bir_Hima_Rock_Petroglyphs_and_Inscriptions
The works of Jože Plečnik in Ljubljana – Human Centred Urban Design,https://en.wikipedia.org/wiki/The_works_of_Jo%C5%BEe_Ple%C4%8Dnik_in_Ljubljana_%E2%80%93_Human_Centred_Urban_Design
Paseo del Prado,https://en.wikipedia.org/wiki/Paseo_del_Prado
"Parque del Buen Retiro, Madrid","https://en.wikipedia.org/wiki/Parque_del_Buen_Retiro,_Madrid"
Mudflat,https://en.wikipedia.org/wiki/Mudflat
Kaeng Krachan Forest Complex,https://en.wikipedia.org/wiki/Kaeng_Krachan_Forest_Complex
Melid,https://en.wikipedia.org/wiki/Melid
The Slate Landscape of Northwest Wales,https://en.wikipedia.org/wiki/The_Slate_Landscape_of_Northwest_Wales
Eladio Dieste,https://en.wikipedia.org/wiki/Eladio_Dieste
Iglesia de Cristo Obrero y Nuestra Señora de Lourdes,https://en.wikipedia.org/wiki/Iglesia_de_Cristo_Obrero_y_Nuestra_Se%C3%B1ora_de_Lourdes
Budj Bim,https://en.wikipedia.org/wiki/Budj_Bim
Palace of Shaki Khans,https://en.wikipedia.org/wiki/Palace_of_Shaki_Khans
Dilmun Burial Mounds,https://en.wikipedia.org/wiki/Dilmun_Burial_Mounds
Paraty,https://en.wikipedia.org/wiki/Paraty
Ilha Grande,https://en.wikipedia.org/wiki/Ilha_Grande
Douroula,https://en.wikipedia.org/wiki/Douroula
Békuy Department,https://en.wikipedia.org/wiki/B%C3%A9kuy_Department
Writing-on-Stone Provincial Park,https://en.wikipedia.org/wiki/Writing-on-Stone_Provincial_Park
Liangzhu culture,https://en.wikipedia.org/wiki/Liangzhu_culture
Yellow Sea,https://en.wikipedia.org/wiki/Yellow_Sea
Bohai Gulf,https://en.wikipedia.org/wiki/Bohai_Gulf
Kladruby nad Labem,https://en.wikipedia.org/wiki/Kladruby_nad_Labem
Ore Mountain Mining Region,https://en.wikipedia.org/wiki/Ore_Mountain_Mining_Region
French Southern and Antarctic Lands,https://en.wikipedia.org/wiki/French_Southern_and_Antarctic_Lands
Augsburg,https://en.wikipedia.org/wiki/Augsburg
Vatnajökull National Park,https://en.wikipedia.org/wiki/Vatnaj%C3%B6kull_National_Park
Jaipur,https://en.wikipedia.org/wiki/Jaipur
Italian language,https://en.wikipedia.org/wiki/Italian_language
Prosecco,https://en.wikipedia.org/wiki/Prosecco
Conegliano,https://en.wikipedia.org/wiki/Conegliano
Valdobbiadene,https://en.wikipedia.org/wiki/Valdobbiadene
Ombilin Coal Mine,https://en.wikipedia.org/wiki/Ombilin_Coal_Mine
Sawahlunto,https://en.wikipedia.org/wiki/Sawahlunto
Hyrcanian forest,https://en.wikipedia.org/wiki/Hyrcanian_forest
Babylon,https://en.wikipedia.org/wiki/Babylon
Mozu tombs,https://en.wikipedia.org/wiki/Mozu_tombs
Furuichi kofungun,https://en.wikipedia.org/wiki/Furuichi_kofungun
Kofun,https://en.wikipedia.org/wiki/Kofun
Plain of Jars,https://en.wikipedia.org/wiki/Plain_of_Jars
Bagan,https://en.wikipedia.org/wiki/Bagan
Krzemionki,https://en.wikipedia.org/wiki/Krzemionki
Palace of Mafra,https://en.wikipedia.org/wiki/Palace_of_Mafra
Tapada Nacional de Mafra,https://en.wikipedia.org/wiki/Tapada_Nacional_de_Mafra
Bom Jesus do Monte,https://en.wikipedia.org/wiki/Bom_Jesus_do_Monte
Braga,https://en.wikipedia.org/wiki/Braga
Pskov,https://en.wikipedia.org/wiki/Pskov
Seowon,https://en.wikipedia.org/wiki/Seowon
Risco Caído,https://en.wikipedia.org/wiki/Risco_Ca%C3%ADdo
Gran Canaria,https://en.wikipedia.org/wiki/Gran_Canaria
Jodrell Bank Observatory,https://en.wikipedia.org/wiki/Jodrell_Bank_Observatory
The 20th-century Architecture of Frank Lloyd Wright,https://en.wikipedia.org/wiki/The_20th-century_Architecture_of_Frank_Lloyd_Wright
Pimachiowin Aki,https://en.wikipedia.org/wiki/Pimachiowin_Aki
Fanjingshan,https://en.wikipedia.org/wiki/Fanjingshan
Chiribiquete National Park,https://en.wikipedia.org/wiki/Chiribiquete_National_Park
Aasivissuit – Nipisat: Inuit Hunting Ground between Ice and Sea,https://en.wikipedia.org/wiki/Aasivissuit_%E2%80%93_Nipisat:_Inuit_Hunting_Ground_between_Ice_and_Sea
Chaîne des Puys,https://en.wikipedia.org/wiki/Cha%C3%AEne_des_Puys
Hedeby,https://en.wikipedia.org/wiki/Hedeby
Danevirke,https://en.wikipedia.org/wiki/Danevirke
Naumburg Cathedral,https://en.wikipedia.org/wiki/Naumburg_Cathedral
The Victorian and Art Deco Ensemble of Mumbai,https://en.wikipedia.org/wiki/The_Victorian_and_Art_Deco_Ensemble_of_Mumbai
Sassanid Archaeological Landscape of Fars Region,https://en.wikipedia.org/wiki/Sassanid_Archaeological_Landscape_of_Fars_Region
Ivrea,https://en.wikipedia.org/wiki/Ivrea
Hidden Christian Sites in the Nagasaki Region,https://en.wikipedia.org/wiki/Hidden_Christian_Sites_in_the_Nagasaki_Region
Thimlich Ohinga,https://en.wikipedia.org/wiki/Thimlich_Ohinga
Tehuacán-Cuicatlán Biosphere Reserve,https://en.wikipedia.org/wiki/Tehuac%C3%A1n-Cuicatl%C3%A1n_Biosphere_Reserve
Qalhat,https://en.wikipedia.org/wiki/Qalhat
Al-Ahsa Oasis,https://en.wikipedia.org/wiki/Al-Ahsa_Oasis
Makhonjwa Mountains,https://en.wikipedia.org/wiki/Makhonjwa_Mountains
Sansa (temple),https://en.wikipedia.org/wiki/Sansa_(temple)
Medina Azahara,https://en.wikipedia.org/wiki/Medina_Azahara
Göbekli Tepe,https://en.wikipedia.org/wiki/G%C3%B6bekli_Tepe
M'banza-Kongo,https://en.wikipedia.org/wiki/M%27banza-Kongo
Los Alerces National Park,https://en.wikipedia.org/wiki/Los_Alerces_National_Park
Valongo Wharf,https://en.wikipedia.org/wiki/Valongo_Wharf
Sambor Prei Kuk,https://en.wikipedia.org/wiki/Sambor_Prei_Kuk
Gulangyu,https://en.wikipedia.org/wiki/Gulangyu
Hoh Xil,https://en.wikipedia.org/wiki/Hoh_Xil
